,id,expected,max_bell,avge,median,bellwether,size
40,4,3,5,1.89,0.68,ngl.csv,9
47,5,3,0,0.44,0.53,mplayer-ce.csv,9
17,6,2,4,1.71,0.69,kml.csv,7
12,7,6,7,4.24,0.64,alsa.csv,17
23,8,4,4,1.85,0.56,ng4j.csv,13
20,10,1,1,0.67,0.52,nuttx.csv,3
11,11,3,2,1.44,0.52,dvd-create.csv,9
42,12,6,6,2.84,0.6,xapian.csv,19
46,13,5,8,3.8,0.67,openmalaria.csv,15
48,14,1,3,2.5,0.815,itext.csv,4
41,15,6,9,4.29,0.67,maya-work-in-progress.csv,17
14,16,5,7,4.13,0.64,frogatto.csv,15
19,17,6,3,2.71,0.56,libarchive.csv,19
9,18,4,6,3.09,0.68,sylpheed-claws.csv,11
21,19,5,6,2.73,0.58,bibletime.csv,15
24,21,2,5,3.0,0.6950000000000001,decidr.csv,8
49,22,1,2,1.0,0.68,rectracker.csv,3
39,23,4,3,2.5,0.54,cleartk.csv,12
38,24,5,9,4.5,0.71,barracudamvc.csv,16
50,25,7,6,2.3,0.52,power-architect.csv,20
22,26,6,7,2.89,0.5700000000000001,uface.csv,18
10,27,4,2,2.58,0.565,superwaba.csv,12
18,28,1,1,0.5,0.485,dataobjectsdotnet.csv,4
13,29,4,7,3.83,0.6799999999999999,jmol.csv,12
31,30,5,9,4.4,0.7,kolmafia.csv,16
28,31,2,2,1.6,0.65,robocode.csv,5
2,32,6,3,2.12,0.51,somap.csv,17
8,33,2,1,1.0,0.5,smartgwt.csv,7
7,34,3,1,0.33,0.52,twostep.csv,9
3,35,3,4,1.8,0.53,geotools.csv,10
27,36,5,8,4.21,0.7,carabiner.csv,14
32,39,6,6,3.59,0.61,beast-mcmc.csv,17
44,40,6,1,0.59,0.4,stuproa-cims.csv,17
36,41,6,4,2.82,0.6,electric-core.csv,17
15,42,7,1,2.5,0.425,anaxagora.csv,20
26,43,5,1,1.57,0.39,vrjuggler.csv,14
25,44,3,4,2.0,0.64,illumination.csv,9
16,45,4,1,1.85,0.52,xmemcached.csv,13
35,46,6,5,2.83,0.53,pnotepad.csv,18
45,47,3,2,1.12,0.5700000000000001,mycila.csv,8
37,48,6,4,2.71,0.555,micomt.csv,18
43,49,3,1,1.1,0.5700000000000001,firebird.csv,10
0,50,2,2,1.5,0.58,atomsite.csv,6
5,51,5,4,2.13,0.53,abbot.csv,15
33,52,5,4,2.14,0.47,jitterbit.csv,14
30,53,3,1,1.22,0.53,columba.csv,9
29,54,3,6,2.7,0.67,patterntesting.csv,10
34,55,3,1,0.5,0.5549999999999999,alpine.csv,8
4,56,2,0,0.0,0.37,jasperreports.csv,7
1,57,4,6,2.69,0.64,jcache.csv,13
6,58,4,3,1.38,0.48,kaffeine.csv,15
