,f1,g,recall,precision,pf,cdom,bellwether
3,0.38,0.615,0.57,0.51,0.48,4.0,turbotrader-bos.csv
9,0.5449999999999999,0.8,0.67,0.51,0.5,9.0,pfaedit.csv
20,0.635,0.525,0.5,0.48,0.48,15.0,superwaba.csv
38,0.725,0.49,0.41,0.44,0.46,19.0,atomsite.csv
1,0.99,0.995,0.99,0.6699999999999999,0.35,0.0,benojt.csv
2,1.0,0.69,0.38,0.675,0.97,0.0,emftriple.csv
37,0.575,0.6699999999999999,0.45499999999999996,0.57,0.57,1.0,ivef-sdk.csv
