,id,expected,max_bell,avge,median,bellwether,size
40,4,3,4,3.0,0.65,jajuk.csv,9
47,5,3,1,0.67,0.41,mplayer-ce.csv,9
17,6,2,4,2.29,0.83,jfreereport.csv,7
12,7,6,9,5.24,0.7,metacosm.csv,17
23,8,4,6,3.0,0.65,turbotrader-bos.csv,13
20,10,1,2,2.0,0.86,pfaedit.csv,3
11,11,3,2,2.0,0.41,dvt.csv,9
42,12,6,6,5.42,0.59,theresa.csv,19
46,13,5,8,4.67,0.68,modellus.csv,15
48,14,1,3,2.5,0.855,google-caja.csv,4
41,15,6,9,5.53,0.66,autowikibrowser.csv,17
14,16,5,8,5.33,0.7,riff-evolve.csv,15
19,17,6,6,5.47,0.59,galaxium.csv,19
9,18,4,6,3.91,0.66,xamj.csv,11
21,19,5,6,4.47,0.62,xmoto.csv,15
24,21,2,5,3.57,0.7,mule.csv,8
49,22,1,2,1.67,0.69,amygdala.csv,3
39,23,4,8,4.0,0.75,mp-rechnungs-und-kundenverwaltung.csv,12
38,24,5,9,6.69,0.72,mclient-mume.csv,16
50,25,7,4,4.65,0.46499999999999997,opendvr.csv,20
22,26,6,7,4.61,0.61,retromenu.csv,18
10,27,4,3,3.25,0.625,hatari.csv,12
18,28,1,0,0.25,0.42000000000000004,thrust.csv,4
13,29,4,7,5.25,0.71,wheat.csv,12
31,30,5,9,7.33,0.715,chipster.csv,16
28,31,2,4,2.2,0.75,zildo.csv,5
2,32,6,5,3.94,0.52,gwanted.csv,17
8,33,2,2,2.17,0.38,lite.csv,7
7,34,3,4,2.0,0.62,piccolo2d.csv,9
3,35,3,3,2.3,0.5,haggle.csv,10
27,36,5,10,6.43,0.675,moving-pictures.csv,14
32,39,6,6,4.47,0.61,sabbu.csv,17
44,40,6,2,1.24,0.38,psrchive.csv,17
36,41,6,7,4.94,0.6,findbugs.csv,17
15,42,7,5,5.1,0.43,nassp.csv,20
26,43,5,3,2.79,0.38,chrysalis.csv,14
25,44,3,5,3.56,0.74,autofac.csv,9
16,45,4,3,2.69,0.53,exordium.csv,13
35,46,6,7,4.39,0.545,jcae.csv,18
45,47,3,1,1.62,0.5,mycila.csv,8
37,48,6,6,3.41,0.5800000000000001,phonon-vlc-mplayer.csv,18
43,49,3,4,1.9,0.575,taokgame.csv,10
0,50,2,2,1.83,0.51,atomsite.csv,6
5,51,5,3,4.4,0.51,taverna.csv,15
33,52,5,4,4.0,0.54,xbg.csv,14
30,53,3,0,1.44,0.41,apolloplayer.csv,9
29,54,3,6,3.4,0.675,bibedt.csv,10
34,55,3,3,1.12,0.5700000000000001,biodwh.csv,8
4,56,2,0,0.0,0.28,geogebra.csv,7
1,57,4,3,2.69,0.57,jstock.csv,13
6,58,4,3,3.08,0.44,e-bio-flow.csv,15
