,id,expected,max_bell,avge,median,bellwether,size
40,4,6,9,4.0,0.77,massiv.csv,9
47,5,6,9,4.22,0.92,avisynth2.csv,9
17,6,4,7,3.0,0.92,jfreereport.csv,7
12,7,11,17,7.12,0.95,wxjs.csv,17
23,8,8,13,5.23,0.77,foursquared.csv,13
20,10,2,2,2.0,0.46,pfaedit.csv,3
11,11,6,8,3.67,0.71,aime.csv,9
42,12,12,19,7.84,1.0,tcvp.csv,19
46,13,9,14,7.8,0.86,fbmanager.csv,15
48,14,2,2,1.25,0.63,google-caja.csv,4
41,15,11,16,7.12,1.0,xined.csv,17
14,16,9,14,6.6,0.67,cornerstone.csv,15
19,17,11,14,10.0,0.86,growl-for-windows.csv,19
9,18,7,11,5.0,0.98,omseek.csv,11
21,19,9,12,7.73,0.8,doomlegacy.csv,15
24,21,4,6,2.86,0.89,runuomondains.csv,8
49,22,2,2,1.67,0.56,log4net.csv,3
39,23,7,10,5.25,0.94,jpaul.csv,12
38,24,10,12,6.88,1.0,sblim.csv,16
50,25,12,20,8.9,0.775,jchassis.csv,20
22,26,11,16,7.11,0.86,retromenu.csv,18
10,27,7,12,5.0,0.7050000000000001,mecat.csv,12
18,28,2,2,0.75,0.535,miranda-icq.csv,4
13,29,7,9,3.92,0.935,bionote.csv,12
31,30,9,16,6.4,0.835,quark.csv,16
28,31,3,5,3.2,0.75,customsagetv.csv,5
2,32,11,17,8.76,0.92,mediaportal.csv,17
8,33,4,5,3.0,0.98,gisgraphy.csv,7
7,34,6,9,4.56,0.66,piccolo2d.csv,9
3,35,6,8,4.2,0.75,haggle.csv,10
27,36,9,14,5.93,0.97,mevenide.csv,14
32,39,11,12,6.47,0.98,badtrinitycore.csv,17
44,40,11,17,7.88,0.96,cme.csv,17
36,41,11,16,6.82,0.81,nosleepsoftware.csv,17
15,42,12,20,7.5,0.905,fm-classic.csv,20
26,43,9,12,7.21,0.98,mvdsv.csv,14
25,44,6,9,5.33,1.0,reaper-ecad.csv,9
16,45,8,13,5.62,1.0,genoviz.csv,13
35,46,11,15,6.78,0.805,jcae.csv,18
45,47,5,6,4.5,0.62,rodin-b-sharp.csv,8
37,48,11,13,7.35,0.77,opengs.csv,18
43,49,6,8,4.4,0.605,taokgame.csv,10
0,50,4,5,1.83,0.815,zealos.csv,6
5,51,9,13,7.2,0.85,matrex.csv,15
33,52,9,13,7.0,0.5449999999999999,repositorium.csv,14
30,53,6,9,5.0,0.97,emulemorph.csv,9
29,54,6,8,4.5,0.8300000000000001,aubit4gl.csv,10
34,55,5,7,4.25,0.95,biodwh.csv,8
4,56,4,7,4.14,0.6,fido.csv,7
1,57,8,10,5.15,0.79,miranda.csv,13
6,58,8,15,7.77,0.58,alembik.csv,15
