,id,max_bell,avge,median,bellwether
0,3,4,3.6,0.99,simplewebservices.csv
1,9,9,8.0,1.0,hydrogen.csv
2,20,16,13.5,0.99,sevenupdate.csv
3,38,18,14.5,1.0,irrlicht.csv
