,id,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
40,4,1,3,8,8,8,ossim.csv
47,5,6,1,3,9,8,zscreen.csv
17,6,0,4,7,7,6,jfreereport.csv
12,7,3,9,15,17,16,metacosm.csv
23,8,2,6,9,12,12,turbotrader-bos.csv
20,10,2,2,2,2,2,pfaedit.csv
11,11,0,2,8,9,8,aime.csv
42,12,1,8,19,19,18,pixel-commandos.csv
46,13,3,7,13,14,14,wow-qrsk.csv
48,14,3,3,2,0,3,google-caja.csv
41,15,5,5,10,15,16,lsb.csv
14,16,3,8,12,13,14,riff-evolve.csv
19,17,8,6,11,13,16,galaxium.csv
9,18,1,4,10,10,10,ftm.csv
21,19,2,6,15,14,14,kftpgrabber.csv
24,21,3,5,5,8,6,mule.csv
49,22,2,2,2,3,2,amygdala.csv
39,23,2,8,10,11,11,mp-rechnungs-und-kundenverwaltung.csv
38,24,1,7,13,16,15,reaper3d.csv
50,25,1,6,18,19,19,opennms.csv
22,26,1,7,16,16,17,retromenu.csv
10,27,1,5,12,12,11,tycho.csv
18,28,0,0,0,4,3,thrust.csv
13,29,1,6,9,12,11,bionote.csv
31,30,2,9,11,13,14,chipster.csv
28,31,2,4,5,5,4,zildo.csv
2,32,4,5,15,15,16,gwanted.csv
8,33,2,2,3,7,5,adobe-source.csv
7,34,1,4,9,9,8,piccolo2d.csv
3,35,1,3,8,10,9,haggle.csv
27,36,1,5,14,12,13,mevenide.csv
32,39,5,6,10,16,16,sabbu.csv
44,40,3,2,13,16,16,psrchive.csv
36,41,3,6,13,15,16,mptvseries.csv
15,42,1,5,19,20,19,nassp.csv
26,43,2,4,12,14,13,etics.csv
25,44,1,5,9,5,8,reaper-ecad.csv
16,45,1,6,13,12,12,genoviz.csv
35,46,2,7,15,18,17,jcae.csv
45,47,2,2,4,8,7,neodatis-odb.csv
37,48,9,5,11,18,16,moviesandbox.csv
43,49,1,3,7,9,9,xbplayer.csv
0,50,3,2,1,2,5,atomsite.csv
5,51,2,5,13,15,14,jsecurity.csv
33,52,2,4,12,14,13,xbg.csv
30,53,2,3,7,9,8,stemkit.csv
29,54,4,6,6,9,9,bibedt.csv
34,55,1,3,7,8,7,biodwh.csv
4,56,1,0,7,7,6,geogebra.csv
1,57,8,4,6,12,12,qtractor.csv
6,58,0,3,14,15,12,nodal.csv
