,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv
bochs.csv,0.83,0.56,0.44,0.27,0.37,0.4,0.63
encog-java.csv,0.26,0.05,0.04,0.07,0.09,0.42,0.05
galaxium.csv,0.61,0.41,0.37,0.61,0.17,0.6,0.21
h2database.csv,0.23,0.25,0.08,0.27,0.02,0.19,0.01
haphazard.csv,0.36,0.29,0.37,0.49,0.21,0.25,0.8
jaql.csv,0.48,0.27,0.17,0.24,0.23,0.42,0.1
raven-monitoring.csv,0.2,0.52,0.23,0.29,0.24,0.56,0.67
