,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv,jmule.csv
fm-classic.csv,0.18,0.26,0.5,0.22,0.25,0.0,0.15
foursquared.csv,0.14,0.17,0.0,0.85,0.0,0.0,0.33
ifmo-game-1.csv,0.38,0.0,0.12,0.41,0.25,0.0,0.27
jmule.csv,0.17,0.29,0.14,0.57,0.44,0.03,0.86
micomt.csv,0.16,0.18,0.07,0.52,0.69,0.02,0.48
voms.csv,0.11,0.6,0.09,0.65,0.53,0.02,0.08
