,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.4,0.22,0.33,0.96,0.47,0.59,0.73,0.5,0.33,0.8
bscwweasel.csv,0.85,0.01,0.33,0.11,0.1,0.09,0.0,0.0,0.02,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fido.csv,0.0,0.02,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0
japano.csv,0.75,0.99,1.0,0.93,1.0,0.86,0.82,1.0,0.98,1.0
joustsim.csv,0.3,0.19,0.0,0.44,0.47,0.2,1.0,0.75,0.44,1.0
log4net.csv,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0
personalaccess.csv,0.45,0.72,1.0,0.74,0.63,0.99,0.91,1.0,0.53,1.0
rcp-company-uibindings.csv,1.0,0.86,1.0,0.96,1.0,0.96,1.0,1.0,1.0,1.0
unbvision.csv,0.65,0.67,0.33,0.48,0.97,0.52,0.64,0.75,0.4,1.0
