,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,1.0,0.63,0.66,1.0,0.9,0.46,0.65,1.0,1.0,0.69,0.66,0.89,0.59,1.0,0.84,1.0
fontforge.csv,0.95,0.78,1.0,1.0,0.99,0.6,0.98,0.26,0.91,1.0,0.54,0.93,0.67,0.88,1.0,0.98
glas.csv,0.68,0.67,0.43,0.69,0.89,0.76,0.62,0.75,0.69,0.64,0.73,0.82,0.67,0.5,0.53,0.68
hannosset.csv,0.53,0.89,0.69,0.96,0.56,0.79,1.03,0.71,0.72,0.92,0.78,0.85,0.88,0.95,0.29,0.8
hatari.csv,0.81,0.64,0.49,0.8,0.92,0.64,0.79,0.97,0.89,0.83,0.38,0.95,0.87,0.86,0.72,0.66
jaolt.csv,0.57,0.66,0.6,0.74,0.89,0.63,0.37,0.65,0.49,0.93,0.31,0.86,0.57,0.76,0.88,0.61
ltp.csv,0.79,0.7,0.87,0.74,0.5,0.62,1.25,0.76,0.84,0.63,0.46,0.55,0.81,0.82,0.85,0.76
mia.csv,0.64,0.84,0.66,0.82,0.92,0.77,0.46,0.54,0.87,0.98,0.61,0.54,0.81,0.95,1.0,0.68
net-snmp.csv,0.52,0.49,0.56,0.74,0.81,0.79,0.37,1.0,0.81,0.87,0.78,0.64,0.77,0.76,0.64,0.82
opde.csv,1.0,0.71,1.0,0.54,0.81,0.71,0.27,0.79,0.66,1.0,0.46,0.95,0.72,0.74,0.95,0.67
oppna-program-hsatools.csv,0.68,0.49,0.59,1.0,0.71,0.52,0.83,1.0,0.82,0.95,0.22,0.99,0.65,0.85,0.53,0.77
powerfolder-.csv,0.83,0.36,0.65,0.96,0.87,0.84,0.38,0.77,0.86,0.96,0.72,0.99,0.57,0.66,0.53,0.73
qlc.csv,0.95,0.51,0.97,0.73,0.91,0.6,0.19,1.0,0.5,0.63,0.74,0.77,0.67,0.92,0.55,0.93
quantlib.csv,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43
tcl.csv,0.74,0.85,0.78,0.84,0.64,0.69,1.12,1.0,0.7,0.54,0.68,0.92,0.7,0.7,1.04,0.77
