,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.45,0.67,0.5,0.62,0.44,0.77,0.88,0.23,0.31,0.22,0.19,0.08,0.2
ivef-sdk.csv,0.73,0.73,0.58,0.81,0.38,1.0,0.25,0.09,0.42,0.61,0.0,0.67,0.4
jmri.csv,0.51,0.37,0.66,0.16,0.11,0.72,0.42,0.46,0.44,0.41,0.32,0.56,0.24
jython.csv,0.58,0.47,0.27,0.61,0.17,0.81,0.64,0.58,0.39,0.18,0.25,0.26,0.3
kdenlive.csv,0.73,0.69,0.54,0.58,0.48,0.65,0.39,0.22,0.48,0.63,0.26,0.77,0.55
opentibia.csv,0.4,0.85,0.46,0.5,0.44,0.08,0.64,0.22,0.11,0.05,0.27,0.55,0.71
projectfactory.csv,0.59,0.65,0.56,0.16,0.47,0.11,0.58,0.23,0.48,0.58,0.25,0.57,0.67
runuomondains.csv,0.64,0.61,0.64,0.49,0.36,0.56,0.65,0.47,0.49,0.61,0.52,0.72,0.33
somap.csv,0.75,0.86,0.58,0.76,0.55,0.58,0.62,0.22,0.38,0.57,0.2,0.91,0.77
taverna.csv,0.38,0.35,0.22,0.26,0.64,0.13,0.66,0.09,0.26,0.55,0.4,0.45,0.6
tigermud.csv,0.45,0.61,0.52,0.58,0.33,0.0,0.06,0.07,0.05,0.19,0.25,0.7,0.69
unbvision.csv,0.68,0.58,0.53,0.27,0.24,0.19,0.28,0.2,0.56,0.43,0.25,0.22,0.34
x-ray-mule.csv,0.4,0.44,0.48,0.83,0.5,0.03,0.19,0.24,0.35,0.6,0.13,0.68,0.56
