,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.72,0.75,0.44,0.3,0.83,0.8,0.09,1.0,0.66,0.02,0.97,0.0,0.05
ivef-sdk.csv,0.74,0.33,0.48,0.7,0.6,0.0,0.63,0.0,0.79,0.74,0.03,1.0,0.43
jmri.csv,0.08,0.08,0.32,0.25,0.43,0.0,0.54,0.1,0.11,0.28,0.22,0.33,0.05
jython.csv,0.31,0.42,0.07,0.55,0.32,0.77,0.94,0.16,0.18,0.05,0.81,0.17,0.19
kdenlive.csv,0.36,0.58,0.52,0.85,0.45,0.97,0.37,0.99,0.75,0.86,0.64,0.33,0.48
opentibia.csv,0.33,0.25,0.38,0.45,0.57,0.03,0.8,0.84,0.06,0.05,0.53,0.0,0.95
projectfactory.csv,0.31,0.08,0.42,0.2,0.6,0.13,0.54,1.0,0.4,0.4,0.69,0.67,0.62
runuomondains.csv,0.26,0.17,0.82,0.8,0.68,0.97,0.94,0.18,0.38,1.0,0.15,0.33,0.52
somap.csv,0.97,0.92,0.77,0.85,0.83,1.0,0.86,1.0,1.0,0.79,0.93,0.0,1.0
taverna.csv,0.05,0.08,0.14,0.2,0.25,0.23,0.46,0.87,0.12,0.58,0.07,0.0,0.67
tigermud.csv,0.59,0.75,0.75,0.35,0.25,0.03,0.06,0.91,0.07,0.21,0.34,0.5,0.57
unbvision.csv,0.28,0.25,0.4,0.45,0.3,1.0,0.49,0.97,0.32,0.35,0.58,0.17,0.19
x-ray-mule.csv,0.44,0.25,0.44,0.2,0.68,0.0,0.66,0.0,0.93,0.79,0.1,0.83,0.43
