,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.41,0.55,0.49,0.53,0.74,0.85,0.85,1.0,0.53,0.13,0.88,0.04,0.11
ivef-sdk.csv,0.82,0.6,0.63,1.0,0.52,1.0,0.24,0.05,0.87,0.79,0.0,0.54,0.31
jmri.csv,0.35,0.23,0.67,0.1,0.11,0.57,0.42,0.5,0.37,0.33,0.5,0.4,0.14
jython.csv,0.48,0.33,0.17,0.6,0.15,0.91,0.94,0.86,0.37,0.1,1.0,0.15,0.2
kdenlive.csv,0.69,0.57,0.59,0.63,0.59,0.69,0.33,0.95,1.0,0.9,0.88,0.64,0.49
opentibia.csv,0.3,0.77,0.43,0.43,0.59,0.04,0.88,0.82,0.07,0.03,0.75,0.38,0.86
projectfactory.csv,0.49,0.48,0.57,0.1,0.67,0.06,0.64,1.0,0.67,0.59,0.88,0.42,0.69
runuomondains.csv,0.54,0.45,0.91,0.5,0.52,0.55,0.97,0.68,0.67,0.92,0.75,0.58,0.26
somap.csv,0.92,0.86,0.77,0.97,1.0,0.6,0.85,0.95,0.9,0.74,0.88,0.83,1.0
taverna.csv,0.24,0.22,0.14,0.17,0.7,0.07,0.73,0.32,0.2,0.62,0.38,0.29,0.6
tigermud.csv,0.38,0.48,0.65,0.5,0.3,0.0,0.03,0.27,0.03,0.13,0.5,0.56,0.71
unbvision.csv,0.59,0.42,0.53,0.2,0.22,0.15,0.24,0.82,0.73,0.38,0.75,0.12,0.23
x-ray-mule.csv,0.31,0.29,0.48,0.8,0.78,0.01,0.18,0.14,0.77,0.79,0.12,0.56,0.49
