,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.21,0.94,0.17,0.54,0.41,0.59,0.46,0.27,0.45,0.03,0.0,0.51,0.55,0.39,0.38,0.87
echongl.csv,0.42,0.86,0.27,0.79,0.76,0.81,0.54,0.35,0.64,0.89,0.02,0.84,0.05,0.7,0.49,0.21
findbugs.csv,0.54,0.81,0.29,0.72,0.8,0.77,0.36,0.26,0.66,0.5,0.03,0.76,0.32,0.67,0.46,0.7
google-web-toolkit.csv,0.42,0.58,0.23,0.78,0.44,0.69,0.26,0.36,0.64,0.58,0.02,0.82,0.45,0.7,0.44,0.46
gwanted.csv,0.46,0.54,0.33,0.57,0.65,0.63,0.33,0.48,0.64,0.42,0.03,0.78,0.25,0.58,0.41,0.06
ivatamasks.csv,0.41,0.86,0.11,0.79,0.68,0.82,0.4,0.28,0.65,0.84,0.02,0.79,0.98,0.71,0.53,0.85
onotoa.csv,0.1,0.68,0.08,0.15,0.05,0.68,0.04,0.1,0.15,0.82,0.0,0.48,0.77,0.33,0.29,0.39
orc.csv,0.06,0.65,0.47,0.61,0.75,0.44,0.27,0.29,0.7,0.0,0.04,0.54,0.58,0.47,0.3,0.16
plato.csv,0.42,1.0,0.15,0.74,0.83,0.88,0.52,0.33,0.6,0.79,0.02,0.84,0.98,0.71,0.52,0.79
proftp.csv,0.0,0.31,0.35,0.13,0.47,0.42,0.11,0.3,0.74,0.41,0.05,0.48,0.02,0.45,0.34,0.09
rodin-b-sharp.csv,0.69,0.54,0.43,0.34,0.75,0.37,0.81,0.2,0.3,0.48,0.0,0.44,0.1,0.34,0.28,0.51
uclmda.csv,0.0,0.01,0.04,0.0,0.17,0.35,0.15,0.0,0.14,0.04,0.0,0.07,1.0,0.1,0.11,0.66
umber.csv,0.79,0.88,0.19,0.85,0.91,0.82,0.55,0.28,0.62,0.78,0.02,0.7,0.98,0.65,0.43,0.79
unicase.csv,0.64,0.94,0.22,0.75,0.87,0.64,0.6,0.38,0.64,0.71,0.02,0.79,0.02,0.67,0.52,0.65
wpdev.csv,0.41,1.0,0.19,0.81,0.91,0.89,0.53,0.25,0.62,0.81,0.02,0.84,0.95,0.73,0.55,0.71
