,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.19,0.94,0.03,0.96,0.5,0.95,0.26,0.0,1.0,0.08
bscwweasel.csv,1.0,0.75,0.0,0.0,0.44,0.75,0.0,0.0,1.0,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
fido.csv,0.5,0.93,0.0,0.57,0.29,0.75,0.0,1.0,1.0,0.0
japano.csv,0.1,1.0,0.02,0.53,0.27,0.84,0.17,0.04,0.96,0.0
joustsim.csv,0.14,1.0,0.0,0.44,0.29,0.87,1.0,0.13,0.99,0.0
log4net.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
personalaccess.csv,0.13,0.92,0.04,0.57,0.28,0.99,0.19,0.04,0.94,0.15
rcp-company-uibindings.csv,0.16,0.92,0.02,0.5,0.26,0.86,0.16,0.04,1.0,0.09
unbvision.csv,0.11,0.94,0.03,0.53,1.0,0.91,0.13,0.04,0.96,0.13
