,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.72,0.76,0.7,0.05,0.84,0.66,0.54,1.0,0.74,0.73
bscwweasel.csv,0.1,0.98,1.0,1.0,0.87,0.98,1.0,1.0,0.99,1.0
cme.csv,1.0,1.01,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.0
fido.csv,0.95,0.81,1.0,0.86,0.75,0.95,1.0,0.0,0.96,1.0
japano.csv,0.83,0.01,0.72,0.79,0.94,0.69,0.69,1.0,0.9,1.13
joustsim.csv,0.86,0.82,1.01,0.87,0.66,0.85,0.0,0.26,0.7,1.01
log4net.csv,1.0,0.99,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
personalaccess.csv,0.71,0.81,0.56,0.74,0.89,0.04,0.8,0.91,0.9,0.56
rcp-company-uibindings.csv,0.6,0.87,0.92,1.0,1.0,0.63,0.97,0.98,0.1,0.96
unbvision.csv,0.93,0.7,0.82,0.82,0.07,0.47,0.88,0.67,0.81,0.63
