,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,ingex.csv,power-architect.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.61,0.7,0.66,0.86,0.7,0.78,0.66,0.77,0.65,0.72,0.82,0.75,0.6,0.77,0.1,0.72,0.41
apertium.csv,0.71,0.57,0.8,0.71,0.67,0.64,0.74,0.91,0.85,0.49,0.0,0.7,0.64,0.63,0.92,1.0,0.56
beast-mcmc.csv,0.02,0.59,0.76,0.57,0.68,0.85,0.61,0.55,0.57,0.67,0.94,0.74,0.69,0.76,0.54,0.64,0.69
cuberok.csv,0.75,0.75,0.92,0.49,0.42,0.82,0.62,0.14,0.51,0.92,0.8,0.64,0.84,0.69,0.85,0.83,0.74
icescrum.csv,0.36,0.68,0.93,0.73,0.53,0.76,0.56,0.73,0.56,0.51,0.72,0.94,0.46,0.66,0.74,0.83,0.11
ingex.csv,0.81,0.94,0.88,0.88,0.83,0.91,0.83,0.72,0.72,0.7,0.83,0.94,0.08,0.89,0.91,0.86,0.95
jbasic.csv,0.6,0.65,0.66,0.67,0.67,0.83,0.68,0.82,0.73,0.1,0.62,0.7,0.93,0.75,0.79,0.82,0.73
jgnash.csv,0.84,0.8,0.93,0.93,0.86,0.87,0.83,0.96,0.12,0.91,0.92,0.94,0.97,0.97,0.95,0.95,1.0
jrefactory.csv,0.79,0.85,0.04,0.9,0.77,0.87,0.74,0.7,0.7,0.82,0.9,0.79,0.85,0.6,0.66,0.79,0.75
jsecurity.csv,0.71,0.84,0.72,0.05,0.72,0.76,0.81,0.85,0.78,0.88,0.96,0.87,0.61,0.61,0.63,0.84,0.85
libopenmetaverse.csv,0.76,0.6,0.88,0.77,0.57,0.03,0.8,0.85,0.67,0.57,0.65,0.58,0.71,0.71,0.64,0.8,0.7
mobicents.csv,0.58,0.59,0.66,0.52,0.65,0.7,0.02,0.71,0.69,0.69,0.64,0.54,0.54,0.74,0.66,0.9,0.64
opendvr.csv,0.85,0.92,0.8,0.83,0.87,0.95,0.77,0.75,0.89,0.84,0.75,0.75,0.94,0.93,0.88,0.14,0.81
openefm.csv,0.66,0.01,0.82,0.85,0.56,0.79,0.62,0.7,0.7,0.7,1.0,0.88,0.52,0.74,0.91,0.77,0.54
power-architect.csv,0.75,0.71,0.68,0.91,0.82,0.86,0.74,0.68,0.8,0.83,0.73,0.86,0.88,0.0,0.77,0.78,0.94
sidekar.csv,0.59,0.72,0.88,0.46,0.04,0.74,0.57,0.75,0.55,0.53,0.46,0.41,0.64,0.77,0.61,0.58,0.49
yarp0.csv,0.72,0.68,0.84,0.57,0.47,0.72,0.6,0.75,0.57,0.92,0.63,0.06,0.69,0.92,0.52,0.87,0.62
