,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,ingex.csv,power-architect.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.35,0.35,0.61,0.12,0.72,0.8,0.55,0.35,0.17,0.48,0.23,0.27,0.46,0.77,1.0,0.31,0.67
apertium.csv,0.3,0.6,0.51,0.2,0.66,0.56,0.49,0.5,0.12,0.67,1.0,0.33,0.48,0.84,0.25,0.0,0.6
beast-mcmc.csv,1.0,0.42,0.53,0.36,0.76,0.51,0.6,0.5,0.21,0.67,0.16,0.29,0.39,0.77,0.57,0.36,0.4
cuberok.csv,0.25,0.43,0.58,0.3,0.79,0.58,0.59,1.0,0.23,0.48,0.26,0.5,0.45,0.81,0.35,0.22,0.4
icescrum.csv,0.64,0.52,0.46,0.34,0.79,0.56,0.64,0.44,0.24,0.63,0.36,0.2,0.58,0.83,0.65,0.4,1.0
ingex.csv,0.3,0.67,0.47,0.26,0.67,0.36,0.55,0.47,0.19,0.6,0.28,0.2,0.93,1.0,0.33,0.22,1.0
jbasic.csv,0.59,0.6,0.6,0.3,0.79,0.5,0.6,0.32,0.15,0.94,0.5,0.5,0.19,0.88,0.56,0.44,0.43
jgnash.csv,0.37,0.44,0.35,0.2,0.75,0.5,0.68,0.33,1.0,0.67,1.0,0.33,0.14,0.5,0.4,0.5,0.0
jrefactory.csv,0.23,0.24,1.0,0.12,0.59,0.47,0.51,0.39,0.15,0.41,0.18,0.25,0.29,0.84,0.42,0.25,0.35
jsecurity.csv,0.3,0.29,0.6,1.0,0.9,0.47,0.44,0.33,0.12,0.67,0.16,0.22,0.43,0.84,0.45,0.23,0.5
libopenmetaverse.csv,0.3,0.4,0.52,0.19,0.72,1.0,0.49,0.36,0.17,0.59,0.33,0.38,0.4,0.79,0.43,0.24,0.39
mobicents.csv,0.41,0.46,0.61,0.38,0.67,0.52,1.0,0.38,0.17,0.51,0.38,0.5,0.52,0.78,0.56,0.19,0.47
opendvr.csv,0.25,0.26,0.6,0.17,0.61,0.48,0.51,0.36,0.13,0.47,0.29,0.3,0.38,0.79,0.29,0.95,0.34
openefm.csv,0.3,0.97,0.52,0.18,0.73,0.67,0.57,0.58,0.16,0.62,0.29,0.33,0.78,0.84,0.4,0.62,0.56
power-architect.csv,0.26,0.35,0.63,0.18,0.66,0.52,0.53,0.41,0.14,0.39,0.32,0.29,0.27,1.0,0.37,0.31,0.39
sidekar.csv,0.34,0.37,0.5,0.31,0.98,0.49,0.6,0.37,0.21,0.61,0.46,0.52,0.44,0.79,0.45,0.37,0.52
yarp0.csv,0.32,0.35,0.55,0.26,0.76,0.5,0.59,0.36,0.2,0.48,0.35,1.0,0.39,0.75,0.52,0.3,0.43
