,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.9,0.88,0.62,0.82,0.82,0.98,0.24,0.66,0.92,0.66,0.78
gstreamer.csv,0.61,0.6,0.63,0.71,0.71,0.5,0.2,0.54,0.58,0.26,0.46
ktc.csv,0.23,0.2,0.23,0.24,0.08,0.12,0.04,0.31,0.38,0.12,0.28
mbse.csv,0.56,0.3,0.28,0.82,0.45,0.35,0.16,0.57,0.51,0.21,0.28
nebuladevice.csv,0.47,0.38,0.0,0.55,0.41,0.81,0.04,0.41,0.2,0.02,0.17
neoengine.csv,0.2,0.3,0.97,0.49,0.08,0.62,0.2,0.83,0.51,0.81,0.57
openmalaria.csv,0.78,0.35,0.3,0.18,0.46,0.52,0.08,0.21,0.65,0.28,0.65
rtrt-on-gpu.csv,0.65,0.73,0.97,0.69,0.36,0.17,0.84,0.96,0.76,0.78,0.43
salasaga.csv,0.27,0.24,0.31,0.04,0.55,0.25,0.6,0.31,0.24,0.46,0.63
skia.csv,0.26,0.33,0.53,0.18,0.1,0.08,0.12,0.39,0.46,0.32,0.28
xemeiah.csv,0.28,0.68,0.81,0.08,0.28,0.48,0.72,0.55,0.27,0.72,0.65
