,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.36,0.42,0.36,0.4,0.38,0.42,0.33,0.49,0.31,0.33,0.36
gstreamer.csv,0.42,0.43,0.41,0.43,0.48,0.46,0.47,0.44,0.37,0.42,0.44
ktc.csv,0.41,0.46,0.56,0.47,0.81,0.78,0.53,0.4,0.48,0.47,0.5
mbse.csv,0.43,0.56,0.5,0.43,0.55,0.55,0.51,0.46,0.4,0.58,0.57
nebuladevice.csv,0.61,0.84,0.0,0.55,0.82,0.51,0.94,0.89,0.71,0.88,0.92
neoengine.csv,0.56,0.45,0.36,0.48,0.93,0.46,0.55,0.51,0.43,0.4,0.38
openmalaria.csv,0.34,0.37,0.5,0.44,0.36,0.42,0.44,0.45,0.34,0.37,0.35
rtrt-on-gpu.csv,0.42,0.47,0.36,0.47,0.53,0.79,0.45,0.54,0.35,0.39,0.45
salasaga.csv,0.55,0.48,0.49,0.69,0.48,0.44,0.95,0.4,0.76,0.37,0.5
skia.csv,0.45,0.41,0.36,0.47,0.61,0.78,0.38,0.42,0.4,0.45,0.41
xemeiah.csv,0.44,0.4,0.33,0.85,0.51,0.47,0.5,0.41,0.67,0.34,0.4
