,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.9,0.88,0.64,0.82,0.85,0.98,0.28,0.69,0.92,0.68,0.78
gstreamer.csv,0.65,0.62,0.65,0.71,0.73,0.78,0.47,0.57,0.59,0.41,0.57
ktc.csv,0.35,0.42,0.44,0.45,0.78,0.71,0.66,0.53,0.71,0.49,0.67
mbse.csv,0.63,0.54,0.43,0.83,0.77,0.61,0.58,0.6,0.57,0.62,0.63
nebuladevice.csv,0.75,0.74,1.0,0.68,0.75,1.14,0.85,0.89,0.39,0.97,0.84
neoengine.csv,0.53,0.44,0.97,0.58,0.87,0.8,0.67,0.83,0.57,0.82,0.64
openmalaria.csv,0.78,0.46,0.46,0.3,0.55,0.66,0.54,0.54,0.68,0.48,0.69
rtrt-on-gpu.csv,0.7,0.75,0.97,0.73,0.61,0.43,0.86,0.96,0.79,0.79,0.49
salasaga.csv,0.62,0.6,0.61,0.67,0.56,0.65,0.97,0.42,0.77,0.58,0.77
skia.csv,0.43,0.52,0.55,0.4,0.66,0.51,0.48,0.51,0.61,0.63,0.42
xemeiah.csv,0.48,0.7,0.82,0.79,0.36,0.49,0.88,0.57,0.72,0.75,0.7
