,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.0,0.0,0.0,0.04,0.0,1.0,0.0,0.0,0.01,0.0
fityk.csv,0.51,0.59,0.65,0.55,0.54,0.28,0.69,0.96,0.62,0.59
freenet.csv,0.55,0.64,0.97,0.51,0.56,0.69,0.56,0.61,0.5,0.59
geogebra.csv,0.25,0.35,0.55,0.04,0.4,0.0,0.35,0.19,0.56,0.95
hibernate.csv,0.25,0.58,0.46,0.19,0.3,0.29,0.48,0.17,0.98,0.47
itext.csv,0.65,0.41,0.53,0.25,0.93,0.0,0.54,0.28,0.46,0.57
k3b.csv,0.69,0.48,0.57,1.0,0.66,0.54,0.66,0.57,0.44,0.65
lamp.csv,1.0,0.13,0.2,0.06,0.31,0.0,0.44,0.13,0.15,0.21
megameknet.csv,0.45,0.54,0.62,0.55,0.52,0.29,0.94,0.49,0.5,0.62
thout.csv,0.49,0.96,0.55,0.42,0.27,0.46,0.49,0.41,0.47,0.61
