,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.0,0.0,0.0,0.67,0.0,1.0,0.0,0.0,0.5,0.0
fityk.csv,0.11,0.26,0.71,0.74,0.55,0.02,0.31,1.0,0.34,0.29
freenet.csv,0.1,0.35,0.99,0.74,0.54,0.06,0.46,0.75,0.33,0.25
geogebra.csv,0.27,0.52,0.66,1.0,0.48,0.0,0.5,0.78,0.32,1.0
hibernate.csv,0.12,0.31,0.72,0.82,0.75,0.05,0.27,1.0,0.99,0.4
itext.csv,0.2,0.48,0.77,0.71,1.0,0.0,0.53,0.58,0.42,0.4
k3b.csv,0.18,0.43,0.82,1.0,0.6,0.08,0.27,0.69,0.38,0.27
lamp.csv,1.0,0.45,0.92,1.0,1.0,0.0,0.47,1.0,0.51,0.55
megameknet.csv,0.1,0.4,0.7,0.74,0.56,0.04,1.0,0.83,0.34,0.26
thout.csv,0.08,0.98,0.66,0.62,0.53,0.03,0.3,0.61,0.26,0.29
