,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
fityk.csv,0.44,0.73,0.6,0.46,0.77,0.39,0.47,0.0,0.53,0.41
freenet.csv,0.64,0.35,0.02,0.42,0.6,0.47,0.18,0.41,0.38,0.55
geogebra.csv,0.06,0.08,0.63,0.0,0.47,0.62,0.09,0.09,0.5,0.0
hibernate.csv,0.17,0.38,0.31,0.08,0.1,0.2,0.35,0.0,0.0,0.19
itext.csv,0.29,0.12,0.29,0.21,0.0,0.1,0.13,0.36,0.24,0.23
k3b.csv,0.36,0.17,0.23,0.0,0.57,0.21,0.61,0.73,0.26,0.69
lamp.csv,0.0,0.04,0.03,0.0,0.0,0.0,0.13,0.0,0.04,0.04
megameknet.csv,0.43,0.22,0.58,0.46,0.8,0.22,0.0,0.18,0.37,0.56
thout.csv,0.68,0.01,0.61,0.62,0.93,0.65,0.31,0.5,0.55,0.44
