,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,pcsx2.csv,xqilla.csv,wxjs.csv,ffigo.csv,wikipediardware.csv
enlightenment.csv,0.28,0.48,0.47,0.03,0.29,0.59,0.19,0.36,0.07
ffigo.csv,0.32,0.57,0.71,0.37,0.57,0.59,0.34,0.02,0.5
ildjit.csv,0.02,0.01,0.06,0.05,0.02,0.04,0.03,0.02,0.0
jfreereport.csv,0.21,0.76,0.0,0.75,0.34,0.03,0.13,0.2,0.57
pcsx2.csv,0.2,0.43,0.24,0.64,0.01,0.15,0.11,0.27,0.86
psycle.csv,0.03,0.68,0.69,0.52,0.87,0.96,0.78,0.5,0.36
wikipediardware.csv,0.29,0.63,0.79,0.65,0.62,0.62,0.71,0.5,0.07
wxjs.csv,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
xqilla.csv,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
