,playerstage.csv,aubit4gl.csv,massiv.csv,bibedt.csv,customwars.csv,quarkplusplus.csv,impala.csv,xinity.csv
aubit4gl.csv,0.91,0.5,1.01,1.0,0.78,0.96,0.65,0.93
bibedt.csv,0.56,0.61,0.54,0.47,0.8,0.66,0.82,0.68
customwars.csv,0.69,0.61,0.84,0.59,0.66,0.72,0.73,0.84
impala.csv,0.95,0.74,0.81,0.67,0.82,0.95,0.54,0.86
massiv.csv,1.0,1.0,0.03,1.0,0.83,1.0,0.96,0.88
playerstage.csv,0.37,0.63,0.57,0.63,0.67,0.74,0.75,0.75
quarkplusplus.csv,0.74,0.77,0.83,0.61,0.65,0.55,0.78,0.72
xinity.csv,0.85,0.77,0.76,0.79,0.78,0.91,0.68,0.51
