,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.15,1.0,0.76,0.17,0.22,0.12,0.69,0.46,0.62,1.0,0.15,0.24
gwanted.csv,0.35,0.0,0.31,0.34,0.05,0.62,0.24,0.21,0.12,0.0,0.63,0.0
ivatamasks.csv,0.62,0.0,0.8,0.21,0.9,0.62,0.75,0.52,0.69,0.89,0.78,0.82
java-gnome.csv,0.38,0.0,0.37,0.09,0.8,0.0,0.25,0.56,0.12,0.14,0.25,0.65
orc.csv,0.05,0.0,0.19,0.17,0.12,0.38,0.35,0.18,0.44,0.0,0.08,0.18
plato.csv,0.95,1.0,0.96,0.79,0.9,0.25,0.89,0.57,0.19,1.0,0.98,0.79
rodin-b-sharp.csv,0.0,1.0,0.09,0.26,0.07,0.62,0.13,0.54,0.44,0.0,0.08,0.65
tycho.csv,0.42,0.5,0.19,0.49,0.15,0.12,0.58,0.15,0.19,0.21,0.8,0.12
umber.csv,0.11,1.0,1.0,0.81,0.71,1.0,0.95,0.9,0.94,0.39,0.38,0.97
unicase.csv,0.27,0.0,0.85,0.89,0.49,0.75,0.71,0.64,0.69,0.57,0.41,0.76
vienna-add-in.csv,0.6,1.0,0.74,0.72,0.32,0.5,0.59,0.63,0.5,0.57,0.63,0.44
wpdev.csv,0.98,0.0,0.99,1.0,0.98,1.0,1.0,0.93,1.0,0.96,0.99,0.88
