,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.92,0.44,0.64,0.52,0.55,0.6,0.47,0.44,0.57,0.55,0.46,0.39,0.64,0.57,0.64
bscwweasel.csv,0.0,0.88,0.9,0.95,0.6,0.86,0.0,0.86,0.8,0.9,0.5,0.67,0.93,0.93,0.67
capcode.csv,0.0,0.5,0.92,0.83,0.0,0.92,0.75,0.97,0.75,0.93,0.0,0.86,0.89,0.9,0.8
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
emite.csv,0.31,0.38,0.45,0.61,0.41,0.41,0.43,0.42,0.49,0.41,0.48,0.57,0.49,0.43,0.36
fluent-nhibernate.csv,0.5,0.0,0.93,0.97,0.86,0.83,0.86,0.77,0.67,0.92,0.83,0.81,0.93,0.96,0.8
lamp.csv,0.0,0.92,0.91,0.86,0.9,0.9,0.95,0.67,0.89,0.83,0.73,0.0,0.83,0.75,0.45
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0
nodal.csv,0.9,0.96,0.81,0.83,0.62,0.88,0.67,0.96,0.77,0.52,0.9,0.8,0.95,0.71,0.56
pydev.csv,0.38,0.91,0.67,0.78,0.4,0.5,0.95,0.97,0.78,0.61,0.58,0.83,0.81,0.73,0.43
retromenu.csv,0.89,0.86,0.68,0.88,0.55,0.5,0.8,0.94,0.86,0.91,0.83,0.0,0.94,0.86,0.53
smbopensoft.csv,0.43,0.96,0.88,0.94,0.48,0.67,0.57,0.91,0.86,0.72,0.73,0.88,0.97,0.94,0.55
stuproa-cims.csv,0.28,0.59,0.51,0.55,0.34,0.39,0.39,0.78,0.34,0.37,0.34,0.39,0.45,0.42,0.38
thout.csv,0.8,0.69,0.78,0.83,0.62,0.42,0.75,0.9,0.56,0.8,0.71,0.69,0.84,0.71,0.4
uface.csv,0.27,0.4,0.49,0.5,0.35,0.43,0.42,0.34,0.38,0.4,0.39,0.38,0.39,0.37,0.55
