,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.05,0.41,0.35,0.52,0.42,0.44,0.03,0.63,0.41,0.51,0.6,0.82,0.47,0.56,0.48
bscwweasel.csv,0.0,0.05,0.06,0.0,0.16,0.15,0.03,0.03,0.03,0.06,0.03,0.02,0.04,0.04,0.06
capcode.csv,0.0,0.01,0.05,0.04,0.0,0.0,0.03,0.19,0.03,0.17,0.02,0.1,0.05,0.11,0.1
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emite.csv,0.71,0.58,0.34,0.37,0.47,0.45,0.46,0.59,0.38,0.52,0.52,0.0,0.35,0.33,0.75
fluent-nhibernate.csv,0.0,0.0,0.03,0.19,0.07,0.06,0.0,0.41,0.03,0.07,0.1,0.35,0.0,0.26,0.1
lamp.csv,0.0,0.0,0.02,0.03,0.07,0.11,0.1,0.01,0.03,0.1,0.15,0.02,0.03,0.02,0.35
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
nodal.csv,0.03,0.16,0.1,0.21,0.27,0.2,0.03,0.1,0.02,0.35,0.15,0.08,0.1,0.09,0.27
pydev.csv,0.59,0.22,0.2,0.2,0.62,0.41,0.13,0.15,0.19,0.0,0.4,0.12,0.23,0.26,0.46
retromenu.csv,0.01,0.14,0.09,0.02,0.0,0.25,0.03,0.07,0.08,0.06,0.08,0.0,0.05,0.02,0.21
smbopensoft.csv,0.04,0.19,0.22,0.11,0.47,0.31,0.33,0.21,0.03,0.33,0.22,0.08,0.16,0.13,0.35
stuproa-cims.csv,0.94,0.6,0.84,0.73,0.96,0.73,1.0,0.0,0.94,0.83,0.92,0.88,0.63,0.89,0.83
thout.csv,0.02,0.54,0.0,0.41,0.31,0.58,0.44,0.25,0.43,0.29,0.28,0.45,0.21,0.5,0.31
uface.csv,0.99,0.95,0.89,0.5,0.96,0.7,0.77,0.83,0.76,0.68,0.82,0.6,0.66,0.0,0.62
