,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.86,0.65,0.73,1.0,0.33,0.77,0.56,0.96,0.4,0.73,0.65
emono.csv,0.97,0.78,0.91,0.8,0.68,0.73,0.84,0.81,0.63,0.82,0.48
haggle.csv,0.56,0.52,0.84,0.61,0.39,0.76,0.93,1.02,0.84,0.7,0.65
hannosset.csv,0.93,0.91,0.95,1.02,0.68,0.25,0.79,1.11,0.95,0.83,0.78
jas.csv,0.69,0.65,0.87,0.55,0.51,0.91,0.56,0.17,0.83,0.86,0.85
jgossipforum.csv,0.6,0.63,0.74,0.07,0.36,1.08,0.53,1.0,0.57,0.74,0.7
madman.csv,0.95,0.67,0.75,0.9,0.2,0.75,0.55,0.97,0.77,0.63,0.77
mediate.csv,0.78,0.54,0.55,0.5,0.57,0.72,0.61,0.56,0.48,0.63,0.67
ngl.csv,0.68,0.88,0.78,0.46,0.62,0.71,0.46,0.77,0.62,0.84,0.84
pustefix.csv,0.54,0.64,0.98,0.82,0.65,0.9,0.76,0.9,0.73,0.57,0.59
synecdoche.csv,0.61,0.9,0.67,0.88,0.9,0.59,0.81,1.0,0.66,0.4,0.95
