,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,98.5,97.5,194.0,1018.0,98.5,258.5,84.5,98.5,1147.5,97.5,196.5,97.5,99.0,189.0,91.5
bl-toolkit.csv,98.5,99.0,98.5,3562.5,194.0,287.5,1168.5,98.5,8594.0,94.5,196.5,296.5,99.0,378.0,573.0
bochs.csv,98.5,99.0,98.5,3925.0,98.5,387.0,44.5,98.5,8406.0,97.5,196.5,95.5,99.0,1046.5,91.5
emeraldemu.csv,98.5,180.0,195.0,1170.0,98.5,191.0,39.5,192.0,2789.0,97.5,293.0,90.5,97.5,759.0,183.0
fbmanager.csv,96.5,99.0,98.5,3755.0,98.5,482.5,1168.5,98.5,8981.0,97.5,263.5,98.5,99.0,857.5,88.5
modellus.csv,92.5,91.5,94.5,467.5,98.5,93.5,648.0,90.5,274.5,97.5,194.5,97.5,99.0,381.0,186.0
openmalaria.csv,98.5,393.0,98.5,2696.0,98.5,190.0,93.5,98.5,3527.0,97.5,97.5,98.5,99.0,753.0,190.0
pi-qmc.csv,98.5,196.0,98.5,1935.5,98.5,481.5,971.5,98.5,5748.5,97.5,194.5,197.5,99.0,754.0,186.0
plplot.csv,96.5,99.0,94.5,373.0,98.5,286.5,1428.0,90.5,1109.0,97.5,196.5,97.5,99.0,1046.5,88.5
powerfolder.csv,98.5,97.5,290.5,743.0,98.5,172.0,241.5,98.5,947.0,83.5,80.5,296.5,99.0,189.0,91.5
psycle.csv,98.5,99.0,290.5,1631.5,98.5,192.0,288.0,98.5,4950.5,97.5,196.5,98.5,99.0,857.5,379.0
qgis.csv,98.5,99.0,96.5,1947.0,98.5,191.0,0.0,95.5,558.0,97.5,195.5,669.0,99.0,569.0,186.0
sbml.csv,98.5,196.0,98.5,2690.5,98.5,190.0,873.0,97.5,4490.5,97.5,196.5,296.5,99.0,853.5,379.0
unimrcp.csv,96.5,99.0,96.5,366.0,98.5,164.5,93.5,90.5,1020.5,97.5,85.5,97.5,99.0,2846.0,281.5
wow-qrsk.csv,70.5,91.5,96.5,1039.0,98.5,192.0,67.5,90.5,848.5,94.5,196.5,91.5,96.5,189.0,0.0
