,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.29,0.18,0.33,0.37,0.5,0.54,0.26,0.39,0.06,0.38,0.12,0.85,0.97
aubit4gl.csv,0.05,0.36,0.33,0.11,0.36,0.08,0.69,0.13,0.06,0.3,0.25,0.74,0.03
bionote.csv,0.32,0.27,0.17,0.19,0.36,0.23,0.02,0.3,0.18,0.22,0.88,0.17,0.09
liferea.csv,0.8,0.91,0.33,0.63,0.71,0.85,0.57,0.61,0.06,0.7,0.38,0.22,0.51
opensim4opencog.csv,0.58,0.82,0.33,0.7,0.71,0.69,0.76,0.48,0.12,0.84,0.5,0.44,0.46
pclasses.csv,0.41,0.91,0.0,0.3,0.07,0.08,0.02,0.43,0.0,0.08,0.0,0.48,0.29
plearn.csv,0.66,0.36,0.83,0.33,0.71,0.38,0.09,0.39,0.18,0.57,0.25,0.57,0.4
psrchive.csv,0.63,0.18,0.67,0.3,0.71,0.69,0.87,0.52,0.06,0.59,0.38,0.72,0.03
re2c.csv,0.41,0.18,1.0,0.48,0.64,0.38,0.39,0.39,0.06,0.46,0.25,0.76,0.83
rebecca-aiml.csv,0.44,0.0,0.5,0.37,0.71,0.54,0.7,0.48,0.29,0.78,1.0,0.83,0.66
thrust.csv,0.02,0.0,0.33,0.04,0.07,0.08,0.35,0.17,0.65,0.14,0.38,0.5,0.26
tzod.csv,0.59,0.36,0.5,0.59,0.57,0.62,0.78,0.57,0.18,0.49,0.62,0.48,0.49
yaprm.csv,0.58,0.45,0.33,0.37,0.43,0.08,0.43,0.3,0.47,0.62,0.88,0.17,0.0
