,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.35,0.69,0.69,0.56
google-caja.csv,0.54,0.8,0.69,0.74
itext.csv,0.77,0.0,0.58,0.77
plee-the-bear.csv,0.79,0.61,0.44,0.51
