,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.57,0.39,0.69,0.67,0.51,0.52
empyrean.csv,0.33,1.0,1.0,1.0,1.0,0.96
impala.csv,0.64,0.74,0.92,0.51,0.63,0.56
multitude.csv,0.79,0.73,0.79,0.96,0.42,0.56
nutz.csv,0.7,0.89,0.33,0.87,0.92,0.93
pi-qmc.csv,0.72,0.68,0.49,0.72,0.78,0.22
