,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.28,0.12,0.0,0.15,0.16,0.17,0.36,0.13,0.02,0.3,0.4,1.0,0.06
bacula.csv,0.69,0.42,0.4,0.63,0.55,0.65,0.64,0.35,0.99,0.64,0.25,0.59,0.64
elmo.csv,0.03,0.0,1.0,0.0,0.02,0.0,0.0,0.02,0.01,0.02,0.02,0.05,0.0
jajuk.csv,0.76,0.47,0.6,0.78,0.97,0.74,0.68,0.54,0.81,0.62,0.64,0.25,0.73
ktc.csv,0.99,0.57,0.4,0.52,0.54,0.43,0.6,0.33,0.48,0.5,0.56,0.64,0.48
neoengine.csv,0.65,0.52,0.6,0.97,0.62,0.61,0.36,0.48,0.85,0.56,0.4,0.27,0.52
omseek.csv,0.16,0.42,0.6,0.07,0.2,0.13,0.4,0.33,0.34,0.15,0.42,0.34,0.91
pcgen.csv,0.1,0.15,0.6,0.19,0.33,0.52,0.2,0.15,0.26,0.19,0.95,0.43,0.36
rosegarden.csv,0.6,0.25,0.4,0.68,0.42,0.61,0.56,0.52,0.68,0.92,0.18,0.39,0.55
selenium.csv,0.63,0.97,0.2,0.73,0.54,0.7,0.36,0.43,0.65,0.77,0.64,0.55,0.76
vapor.csv,0.41,0.53,0.0,0.31,0.42,0.3,0.96,0.11,0.27,0.4,0.2,0.43,0.39
zorannt.csv,0.23,0.75,0.4,0.45,0.6,1.0,0.52,0.7,0.49,0.22,0.33,0.41,0.42
zscreen.csv,0.7,0.55,0.4,0.38,0.63,0.35,0.44,0.98,0.57,0.54,0.6,0.75,0.39
