,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.28,0.17,0.0,0.19,0.19,0.09,0.35,0.21,0.04,0.28,0.36,1.0,0.03
bacula.csv,0.52,0.44,0.2,0.55,0.58,0.28,0.47,0.47,0.99,0.44,0.3,0.39,0.27
elmo.csv,0.07,0.0,1.0,0.0,0.03,0.0,0.0,0.04,0.02,0.03,0.04,0.08,0.0
jajuk.csv,0.66,0.53,0.11,0.59,0.98,0.39,0.45,0.65,0.73,0.49,0.67,0.17,0.28
ktc.csv,0.99,0.6,0.12,0.56,0.53,0.34,0.42,0.45,0.59,0.55,0.54,0.45,0.24
neoengine.csv,0.58,0.59,0.09,0.99,0.64,0.41,0.27,0.56,0.75,0.42,0.37,0.19,0.27
omseek.csv,0.24,0.46,0.11,0.13,0.3,0.21,0.25,0.41,0.43,0.19,0.43,0.27,0.94
pcgen.csv,0.17,0.25,0.1,0.27,0.46,0.3,0.24,0.25,0.4,0.26,0.96,0.28,0.27
rosegarden.csv,0.64,0.38,0.12,0.52,0.5,0.46,0.32,0.59,0.68,0.95,0.22,0.3,0.2
selenium.csv,0.65,0.98,0.08,0.62,0.62,0.23,0.32,0.58,0.69,0.53,0.62,0.31,0.25
vapor.csv,0.52,0.57,0.0,0.41,0.47,0.29,0.96,0.19,0.41,0.46,0.31,0.41,0.32
zorannt.csv,0.25,0.59,0.12,0.35,0.53,1.0,0.32,0.67,0.54,0.24,0.33,0.36,0.14
zscreen.csv,0.62,0.57,0.16,0.45,0.63,0.28,0.38,0.99,0.62,0.42,0.5,0.45,0.16
