,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,ingex.csv,power-architect.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.32,0.32,0.62,0.17,0.7,0.49,0.51,0.4,0.14,0.45,0.33,0.29,0.38,0.78,0.68,0.33,0.6
apertium.csv,0.29,0.65,0.6,0.29,0.73,0.5,0.6,1.0,0.15,0.62,0.52,0.44,0.57,0.79,0.43,0.0,0.48
beast-mcmc.csv,0.58,0.4,0.53,0.26,0.65,0.55,0.57,0.36,0.18,0.61,0.29,0.27,0.43,0.81,0.43,0.29,0.42
cuberok.csv,0.33,0.32,0.39,0.21,0.7,0.43,0.45,0.59,0.28,0.47,0.27,0.19,0.32,0.71,0.6,0.3,0.29
icescrum.csv,0.48,0.47,0.67,0.26,0.81,0.57,0.62,0.5,0.18,0.67,0.42,0.33,0.47,0.86,0.52,0.24,0.74
ingex.csv,0.29,0.26,0.57,0.13,0.63,0.44,0.49,0.21,0.12,0.47,0.42,0.4,0.53,0.71,0.47,0.33,0.6
jbasic.csv,0.32,0.4,0.46,0.22,0.7,0.49,0.53,0.48,0.17,0.67,0.3,0.3,0.4,0.78,0.4,0.29,0.4
jgnash.csv,0.3,0.46,0.56,0.31,0.69,0.5,0.56,0.39,0.33,0.55,0.42,0.35,0.42,0.88,0.41,0.36,0.37
jrefactory.csv,0.17,0.28,0.72,0.16,0.55,0.43,0.48,0.37,0.14,0.45,0.25,0.35,0.37,0.85,0.43,0.29,0.36
jsecurity.csv,0.45,0.61,0.46,0.39,0.81,0.59,0.59,0.33,0.14,0.79,0.33,0.3,0.45,0.92,0.57,0.31,0.57
libopenmetaverse.csv,0.27,0.33,0.58,0.19,0.65,0.69,0.51,0.35,0.15,0.49,0.38,0.33,0.37,0.77,0.42,0.24,0.37
mobicents.csv,0.37,0.45,0.5,0.32,0.87,0.45,0.69,0.42,0.22,0.56,0.38,0.26,0.38,0.77,0.39,0.33,0.42
opendvr.csv,0.39,0.45,0.45,0.37,0.76,0.49,0.63,0.42,0.17,0.59,0.41,0.36,0.44,0.84,0.36,0.47,0.52
openefm.csv,0.33,0.56,0.43,0.23,0.9,0.53,0.54,0.43,0.17,0.56,0.47,0.25,0.39,1.0,0.53,0.3,0.46
power-architect.csv,0.29,0.41,0.56,0.25,0.69,0.5,0.52,0.41,0.14,0.39,0.29,0.29,0.3,0.95,0.37,0.3,0.36
sidekar.csv,0.0,0.48,0.0,0.0,0.8,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
yarp0.csv,0.26,0.34,0.53,0.24,0.71,0.49,0.64,0.35,0.14,0.47,0.4,0.57,0.43,0.74,0.46,0.24,0.53
