,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,ingex.csv,power-architect.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.26,0.75,0.66,0.79,0.37,0.63,0.6,0.89,0.57,0.92,0.03,0.63,0.82,0.36,0.21,0.81,0.06
apertium.csv,0.78,0.09,0.37,0.24,0.37,0.54,0.36,0.0,0.63,0.55,0.33,0.13,0.06,0.71,0.32,0.0,0.44
beast-mcmc.csv,0.2,0.51,0.82,0.51,0.61,0.54,0.53,0.8,0.63,0.42,0.86,0.84,0.6,0.79,0.58,0.74,0.72
cuberok.csv,0.22,0.81,0.29,0.31,0.16,0.6,0.4,0.31,0.19,0.24,0.19,0.66,0.3,0.57,0.15,0.92,0.16
icescrum.csv,0.28,0.27,0.21,0.24,0.18,0.29,0.32,0.31,0.46,0.26,0.33,0.11,0.46,0.29,0.24,0.25,0.16
ingex.csv,0.61,0.75,0.53,0.53,0.68,0.43,0.74,0.43,0.83,0.94,0.24,0.16,0.34,0.64,0.27,0.38,0.12
jbasic.csv,0.67,0.46,0.84,0.42,0.68,0.71,0.75,0.4,0.7,0.38,0.93,0.55,0.7,1.0,0.61,0.91,0.78
jgnash.csv,0.48,0.37,0.39,0.39,0.55,0.37,0.45,0.57,0.25,0.2,0.19,0.39,0.46,0.07,0.45,0.13,0.91
jrefactory.csv,0.69,0.57,0.37,0.7,0.5,0.23,0.42,0.63,0.43,0.39,0.62,0.63,0.66,0.14,0.41,0.57,0.66
jsecurity.csv,0.14,0.19,0.5,0.27,0.08,0.49,0.3,0.4,0.62,0.05,0.14,0.18,0.24,0.07,0.09,0.17,0.09
libopenmetaverse.csv,1.0,0.99,0.97,1.0,0.92,0.29,1.0,0.86,0.99,1.0,0.67,0.82,0.88,0.93,0.68,0.36,0.97
mobicents.csv,0.5,0.42,0.53,0.19,0.13,0.74,0.31,0.74,0.36,0.76,0.4,0.76,0.78,0.57,0.59,0.81,0.66
opendvr.csv,0.4,0.39,0.61,0.19,0.26,1.0,0.37,0.31,0.61,0.38,0.29,0.24,0.4,0.64,0.52,0.34,0.31
openefm.csv,0.45,0.25,0.55,0.49,0.03,0.23,0.69,0.34,0.43,0.06,0.29,0.32,0.34,0.0,0.23,0.36,0.62
power-architect.csv,0.53,0.48,0.71,0.63,0.45,0.97,0.66,0.77,0.71,0.38,0.64,0.84,0.66,0.14,0.86,0.91,0.94
sidekar.csv,0.0,0.21,0.0,0.0,0.32,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0
yarp0.csv,0.74,0.72,0.53,0.59,0.42,0.66,0.35,0.69,0.3,0.91,0.47,0.24,0.54,0.86,0.39,0.36,0.22
