,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.44,0.31,0.9,0.12,0.8,0.12,0.53,0.0,0.35,0.5,0.74
freedom-erp.csv,0.15,0.14,0.05,0.05,0.0,0.0,0.01,0.33,0.67,0.03,0.67
haggle.csv,0.54,0.2,0.6,0.49,0.27,0.03,0.91,0.04,0.0,0.39,0.26
jchassis.csv,0.0,0.0,0.05,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0
jmoney.csv,0.15,0.53,0.4,0.34,0.4,0.47,0.03,0.31,0.49,0.23,0.04
jsidplay2.csv,0.39,0.43,0.2,0.49,0.5,0.28,0.19,0.96,0.59,0.35,0.0
madman.csv,0.02,0.25,0.65,0.15,0.2,0.2,0.31,0.03,0.22,0.42,0.7
matrex.csv,0.22,0.02,0.15,0.0,0.37,0.0,0.15,0.2,0.14,0.02,0.0
mediate.csv,0.46,0.25,0.3,0.27,0.53,0.3,0.87,0.8,0.18,0.64,0.63
primefaces.csv,0.8,0.98,0.55,1.0,0.87,1.0,0.56,0.29,1.0,0.65,0.26
tmva.csv,0.83,0.57,1.0,1.0,1.0,0.25,1.0,1.0,0.39,0.74,0.81
