,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.67,0.73,0.31,0.24,0.42,0.27,0.69,0.0,0.73,0.0,0.56
freedom-erp.csv,0.68,0.09,0.42,0.0,0.18,0.02,0.13,0.75,0.71,0.0,0.42
haggle.csv,0.17,0.26,0.32,0.67,0.32,0.18,0.26,0.0,0.0,0.89,0.44
jchassis.csv,0.0,0.0,0.0,0.0,0.12,0.0,0.05,0.0,0.0,0.98,0.0
jmoney.csv,0.81,0.73,0.74,0.5,0.53,0.42,0.22,0.51,0.77,0.0,0.26
jsidplay2.csv,0.68,0.36,0.78,0.4,0.68,0.47,0.63,0.17,0.27,0.0,0.06
madman.csv,0.18,0.34,0.37,0.51,0.18,0.29,0.41,0.04,0.95,0.0,0.51
matrex.csv,0.71,0.35,0.41,0.1,0.64,0.02,0.83,0.41,0.29,0.0,0.06
mediate.csv,0.51,0.41,0.38,0.56,0.68,0.36,0.4,0.53,0.43,0.74,0.41
primefaces.csv,0.54,0.09,0.68,0.0,0.42,0.0,0.76,0.64,0.0,0.46,0.79
tmva.csv,0.5,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.41,0.0,0.52
