,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,l2j.csv,jruby.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.24,0.22,0.4,0.18,0.25,0.21,0.22,0.39,0.3,0.14,0.2,0.27,0.27,0.21,0.23,0.44,0.25,0.39,0.23,0.19
betoffice.csv,0.3,0.31,0.43,0.4,0.37,0.26,0.39,0.34,0.21,0.5,0.41,0.3,0.3,0.35,0.27,0.41,0.37,0.43,0.43,0.35
bionote.csv,0.22,0.28,0.11,0.15,0.2,0.28,0.17,0.28,0.14,0.12,0.12,0.2,0.22,0.2,0.22,0.17,0.31,0.37,0.26,0.21
bnetd.csv,0.31,0.39,0.23,0.21,0.25,0.18,0.19,0.39,0.23,0.2,0.19,0.33,0.32,0.3,0.25,0.43,0.39,0.41,0.42,0.27
elvishrayrenderer.csv,0.19,0.3,0.49,0.25,0.28,0.2,0.12,0.36,0.17,0.44,0.23,0.2,0.22,0.23,0.23,0.14,0.13,0.19,0.17,0.29
emisview.csv,0.17,0.39,0.13,0.16,0.22,0.21,0.14,0.14,0.21,0.48,0.22,0.23,0.22,0.23,0.18,0.41,0.13,0.14,0.16,0.33
findbugs.csv,0.33,0.22,0.48,0.16,0.38,0.24,0.39,0.36,0.31,0.39,0.22,0.21,0.33,0.2,0.26,0.44,0.38,0.43,0.43,0.23
hazelcast.csv,0.2,0.17,0.13,0.21,0.25,0.22,0.22,0.2,0.27,0.15,0.16,0.22,0.25,0.22,0.19,0.18,0.15,0.22,0.22,0.15
jitterbit.csv,0.31,0.33,0.23,0.31,0.31,0.25,0.17,0.17,0.21,0.15,0.41,0.24,0.35,0.3,0.26,0.16,0.26,0.41,0.32,0.25
jppf-project.csv,0.26,0.38,0.52,0.31,0.28,0.24,0.31,0.36,0.31,0.38,0.38,0.28,0.32,0.26,0.25,0.18,0.25,0.44,0.2,0.37
jruby.csv,0.19,0.39,0.49,0.15,0.23,0.28,0.16,0.24,0.16,0.45,0.42,0.17,0.32,0.17,0.23,0.13,0.26,0.39,0.18,0.29
kolmafia.csv,0.33,0.39,0.53,0.34,0.23,0.28,0.31,0.39,0.26,0.29,0.39,0.28,0.33,0.19,0.3,0.4,0.35,0.44,0.28,0.33
l2j.csv,0.28,0.19,0.1,0.21,0.18,0.24,0.25,0.26,0.25,0.18,0.18,0.25,0.32,0.21,0.18,0.32,0.29,0.12,0.34,0.19
megasquirtavr.csv,0.33,0.39,0.13,0.38,0.4,0.3,0.39,0.38,0.31,0.49,0.42,0.31,0.32,0.33,0.32,0.46,0.39,0.43,0.39,0.31
qedo.csv,0.33,0.38,0.34,0.34,0.37,0.3,0.2,0.33,0.23,0.36,0.34,0.22,0.23,0.27,0.25,0.2,0.38,0.4,0.19,0.35
stajistics.csv,0.28,0.39,0.49,0.4,0.26,0.25,0.19,0.26,0.32,0.49,0.35,0.3,0.23,0.35,0.29,0.24,0.37,0.26,0.21,0.37
trackit.csv,0.22,0.39,0.4,0.29,0.18,0.22,0.28,0.33,0.26,0.34,0.34,0.31,0.33,0.3,0.21,0.15,0.32,0.23,0.16,0.37
wxlua.csv,0.22,0.35,0.48,0.4,0.38,0.28,0.34,0.39,0.31,0.48,0.38,0.27,0.33,0.29,0.3,0.45,0.31,0.28,0.4,0.33
x4x.csv,0.3,0.34,0.38,0.38,0.37,0.24,0.39,0.39,0.35,0.49,0.35,0.32,0.28,0.31,0.32,0.46,0.38,0.44,0.42,0.37
xharbour.csv,0.3,0.24,0.34,0.24,0.23,0.24,0.34,0.31,0.28,0.33,0.32,0.24,0.27,0.21,0.29,0.4,0.35,0.43,0.34,0.23
