,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.51,0.36,0.24,0.64,0.18,0.8,0.2,0.47,0.68,0.64,0.0,0.01
archive-crawler.csv,0.29,0.13,0.43,0.3,0.3,0.24,0.52,0.57,0.38,0.0,0.3,0.26
blue-c.csv,0.75,0.58,0.39,0.62,0.36,0.0,0.38,0.33,0.68,0.47,0.43,0.75
dynalloy.csv,0.31,0.0,0.99,0.91,0.93,1.0,0.99,0.88,0.3,1.0,0.37,0.83
jcae.csv,0.11,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.13,0.0,0.0
kmatplot.csv,0.0,0.13,0.15,0.19,0.23,0.12,0.21,0.02,0.05,0.15,0.03,0.31
mscore.csv,0.47,0.46,0.63,0.6,0.23,0.24,0.02,0.22,0.4,0.55,0.7,0.49
nosleepsoftware.csv,0.0,0.0,0.0,0.0,0.2,0.44,0.18,0.08,0.0,0.2,0.0,0.0
openmalaria.csv,0.48,0.63,0.82,0.32,0.23,0.2,0.47,0.04,0.32,0.67,0.83,0.63
popeye-chess.csv,0.65,0.48,0.62,0.38,0.0,0.24,0.22,0.24,0.38,0.44,0.63,0.59
riff-evolve.csv,0.41,0.49,0.58,0.28,0.3,0.28,0.29,0.39,0.03,0.55,0.53,0.47
virtuoso.csv,0.75,0.93,0.94,1.0,0.09,1.0,0.92,0.88,1.0,0.84,0.73,0.01
