,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.16,0.51,0.29,0.98,0.43,0.48,0.46,0.1,0.59,0.23,0.56,0.32,0.58,0.16
elateportal.csv,0.0,0.29,0.33,0.37,0.41,0.22,0.34,0.12,0.41,0.31,0.59,0.42,0.32,1.0
gdis.csv,0.21,0.36,0.39,0.63,0.53,0.29,0.6,0.2,0.82,0.3,0.98,0.55,0.52,0.16
gzigzag.csv,0.54,0.29,0.96,0.38,0.2,0.33,0.09,0.38,0.33,0.17,0.3,0.19,0.38,0.13
icescrum.csv,0.44,0.45,0.37,0.32,0.35,0.41,0.36,0.0,0.43,0.31,0.67,0.22,0.97,0.12
jguard.csv,0.4,0.3,0.38,0.61,0.97,0.4,0.25,0.2,0.62,0.19,0.42,0.54,0.33,0.83
jitterbit.csv,0.21,0.95,0.46,0.45,0.18,0.38,0.69,0.13,0.49,0.24,0.72,0.08,0.42,0.95
jython.csv,0.98,0.44,0.37,0.71,0.51,0.44,0.08,0.21,0.84,0.21,0.1,0.59,0.37,0.66
personalaccess.csv,0.22,0.3,0.35,0.0,0.5,0.3,0.47,0.0,0.99,0.22,0.87,0.1,0.52,0.52
ppcboot.csv,0.64,0.46,0.38,0.73,0.35,0.39,0.93,0.22,0.7,0.3,0.73,0.34,0.56,0.92
repositorium.csv,0.14,0.35,0.33,0.27,0.29,0.37,0.67,0.9,0.71,0.3,0.37,0.3,0.49,0.8
unbvision.csv,0.57,0.52,0.42,0.41,0.44,0.95,0.5,0.0,0.74,0.25,0.61,0.21,0.52,0.23
wxstudio.csv,0.02,0.1,0.19,0.2,0.21,0.22,0.13,0.21,0.36,0.0,0.29,0.96,0.07,0.16
xbg.csv,0.61,0.44,0.28,0.0,0.15,0.22,0.35,0.0,0.09,0.93,0.26,0.35,0.26,0.09
