,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,1.0,0.0,22.0,1.0,0.0,7.0,0.0,16.0,0.0,10.0,0.0,0.0,2.0,0.0
elateportal.csv,169.0,1.0,0.0,2.0,0.0,8.0,0.0,5.0,0.0,2.0,2.0,0.0,6.0,0.0
gdis.csv,1.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,4.0,0.0,6.0,2.0,2.0
gzigzag.csv,1.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0
icescrum.csv,4.0,4.0,4.0,1.0,4.0,0.0,0.0,96.0,0.0,2.0,0.0,2.0,0.0,0.0
jguard.csv,2.0,8.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
jitterbit.csv,7.0,0.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,3.0,0.0,8.0,5.0,2.0
jython.csv,0.0,5.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,15.0,0.0,0.0,3.0,3.0
personalaccess.csv,1.0,3.0,15.0,54.0,2.0,0.0,0.0,96.0,0.0,8.0,0.0,10.0,1.0,0.0
ppcboot.csv,1.0,1.0,7.0,1.0,2.0,4.0,0.0,9.0,0.0,7.0,0.0,15.0,2.0,0.0
repositorium.csv,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0
unbvision.csv,1.0,0.0,1.0,0.0,1.0,0.0,0.0,96.0,1.0,11.0,0.0,0.0,3.0,2.0
wxstudio.csv,0.0,1.0,4.0,2.0,0.0,3.0,2.0,2.0,0.0,62.0,2.0,0.0,8.0,1.0
xbg.csv,1.0,1.0,1.0,54.0,0.0,0.0,0.0,96.0,1.0,0.0,1.0,0.0,1.0,0.0
