,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.92,0.21,0.57,0.04,0.45,0.46,0.46,0.3,0.2,0.27,0.31,0.43,0.47,0.17
elateportal.csv,0.01,0.46,0.17,0.56,0.29,0.31,0.43,0.44,0.2,0.25,0.38,0.41,0.41,0.0
gdis.csv,0.97,0.77,0.75,0.8,0.61,0.69,0.29,0.51,0.72,0.58,0.0,0.47,0.75,0.33
gzigzag.csv,0.03,0.1,0.0,0.0,0.11,0.06,0.0,0.12,0.08,0.25,0.0,0.04,0.06,0.0
icescrum.csv,0.16,0.12,0.3,0.04,0.46,0.11,0.37,0.27,0.08,0.05,0.31,0.06,0.0,0.17
jguard.csv,0.04,0.5,0.53,0.08,0.0,0.45,0.31,0.08,0.28,0.36,0.54,0.35,0.34,0.67
jitterbit.csv,0.79,0.0,0.45,0.88,0.18,0.09,0.97,0.03,0.08,0.13,0.92,0.18,0.22,0.67
jython.csv,0.0,0.77,0.91,1.0,0.88,0.91,0.01,0.99,1.0,0.95,0.0,0.76,0.38,0.83
personalaccess.csv,0.97,0.51,0.55,0.0,0.38,0.12,0.58,0.14,0.04,0.29,0.31,0.39,0.66,0.17
ppcboot.csv,0.16,0.48,0.6,0.32,0.38,0.68,0.04,0.15,0.32,0.58,0.38,0.73,0.69,0.17
repositorium.csv,0.89,0.31,0.84,0.08,0.3,0.11,0.94,0.0,0.84,0.27,0.38,0.29,0.75,0.17
unbvision.csv,0.16,0.1,0.8,0.04,0.54,0.0,0.27,0.13,0.64,0.75,0.15,0.65,0.75,0.5
wxstudio.csv,0.69,0.25,0.3,0.64,0.07,0.51,0.07,0.16,0.24,0.09,0.54,0.0,0.25,0.17
xbg.csv,0.02,0.08,0.09,0.0,0.12,0.02,0.04,0.0,0.04,0.0,0.15,0.12,0.03,0.0
