,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,0.07,0.81,0.8,0.7,0.89
intact.csv,0.73,0.07,1.0,0.57,0.7
miranda-icq.csv,0.9,0.76,0.01,0.46,0.73
ofbiz.csv,0.68,0.68,0.76,0.9,0.0
roolo.csv,0.92,0.99,0.96,0.0,0.85
