,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,0.07,0.75,0.76,0.35,0.89
intact.csv,0.36,0.0,1.0,0.51,0.24
miranda-icq.csv,0.21,0.37,0.01,0.35,0.46
ofbiz.csv,0.14,0.25,0.21,0.05,0.0
roolo.csv,0.07,0.22,0.02,0.0,0.19
