,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,0.99,0.28,0.25,0.38,0.69
intact.csv,0.88,1.0,0.26,0.44,0.75
miranda-icq.csv,0.81,0.27,0.98,0.52,0.66
ofbiz.csv,0.95,0.38,0.3,0.5,1.0
roolo.csv,0.9,0.06,0.4,1.0,0.66
