,ontomorphtab.csv,delphilhlplib.csv,flexpay.csv,gabel.csv,img-browse-sort.csv,passwordsafe.csv,genoviz.csv
delphilhlplib.csv,0.49,0.39,0.58,0.59,0.59,0.51,0.37
flexpay.csv,0.56,0.38,0.65,0.54,0.33,0.75,0.43
gabel.csv,0.44,0.85,0.64,0.73,0.89,0.95,0.53
genoviz.csv,0.89,0.52,0.8,0.92,0.5,0.86,0.78
img-browse-sort.csv,0.41,0.42,0.45,0.42,0.71,0.62,0.38
ontomorphtab.csv,0.41,0.41,0.42,0.42,0.34,0.49,0.34
passwordsafe.csv,0.43,0.5,0.48,0.48,0.6,0.58,0.4
