,ontomorphtab.csv,delphilhlplib.csv,flexpay.csv,gabel.csv,img-browse-sort.csv,passwordsafe.csv,genoviz.csv
delphilhlplib.csv,98.5,193.0,99.0,464.5,237.5,98.5,95.5
flexpay.csv,98.5,193.0,99.0,358.0,98.5,192.0,194.0
gabel.csv,91.5,189.0,99.0,594.5,154.0,98.5,180.0
genoviz.csv,83.5,193.0,99.0,366.0,50.5,94.5,95.5
img-browse-sort.csv,189.0,193.0,198.0,566.0,74.5,98.5,95.5
ontomorphtab.csv,98.5,193.0,198.0,566.0,98.5,98.5,95.5
passwordsafe.csv,187.0,193.0,99.0,566.0,81.5,98.5,95.5
