,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.62,0.0,0.37,0.49,0.4,0.29,0.98,0.19,0.48,0.37,0.48,0.54,0.44
gamestone.csv,0.49,1.0,0.52,0.28,0.33,0.35,0.4,0.29,0.35,0.34,0.37,0.41,0.48
gbif-providertoolkit.csv,0.37,0.0,0.12,0.14,1.0,0.23,0.09,0.37,0.0,0.41,0.21,0.55,0.31
growl-for-windows.csv,0.69,0.3,0.62,0.42,0.39,0.55,0.57,0.4,0.35,0.69,0.67,0.99,0.39
gss.csv,0.7,0.3,0.63,0.47,0.32,0.7,0.43,0.54,0.36,0.68,1.0,0.72,0.57
heekscad.csv,1.0,0.3,0.63,0.53,0.35,0.71,0.46,0.46,0.41,0.78,0.7,0.53,0.56
igarden.csv,0.23,0.2,0.29,0.95,0.0,0.18,0.56,0.06,0.4,0.12,0.38,0.23,0.37
levent.csv,0.71,0.38,0.64,0.39,0.32,0.98,0.48,0.45,0.37,0.52,0.57,0.55,0.38
openmsx.csv,0.71,0.24,0.4,0.46,0.28,0.6,0.59,0.98,0.34,0.64,0.42,0.63,0.51
pnotepad.csv,0.79,0.25,0.65,0.47,0.3,0.76,0.48,0.51,0.33,0.99,0.68,0.78,0.62
quark.csv,0.32,0.0,0.41,0.17,0.12,0.0,0.25,0.06,1.0,0.12,0.12,0.05,0.25
tango-cs.csv,0.68,0.19,0.51,0.44,0.33,0.36,0.19,0.45,0.34,0.68,0.61,0.57,0.97
xcsoar.csv,0.66,0.18,0.92,0.41,0.31,0.57,0.49,0.34,0.37,0.51,0.62,0.39,0.54
