,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.26,0.15,0.03,0.12,0.27,0.22,0.0,0.03,0.42,0.0,0.55,0.11,0.54
gamestone.csv,0.13,0.0,0.13,0.25,0.31,0.09,0.23,0.26,0.38,0.0,0.05,0.17,0.54
gbif-providertoolkit.csv,0.43,0.29,0.07,0.14,0.0,0.22,0.03,0.23,0.29,0.2,0.2,0.06,0.13
growl-for-windows.csv,0.72,0.62,0.35,0.57,0.58,0.39,0.47,0.32,0.94,0.3,0.4,0.0,0.61
gss.csv,0.3,0.62,0.75,0.75,0.64,0.43,0.77,0.61,0.71,0.8,0.0,0.67,0.55
heekscad.csv,0.0,0.38,0.35,0.46,0.57,0.61,0.63,0.66,0.71,0.5,0.35,0.78,0.72
igarden.csv,0.02,0.02,0.11,0.01,0.0,0.04,0.07,0.01,0.21,0.0,0.0,0.11,0.19
levent.csv,0.28,0.25,0.31,0.5,0.51,0.0,0.57,0.53,0.42,0.3,0.15,0.33,0.52
openmsx.csv,0.51,0.85,0.58,0.88,0.34,0.74,0.17,0.0,0.77,0.9,0.55,0.67,0.62
pnotepad.csv,0.81,0.77,0.77,0.97,0.9,0.48,1.0,0.81,1.0,0.0,0.9,0.89,0.78
quark.csv,0.06,0.0,0.04,0.03,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.07
tango-cs.csv,0.55,0.38,0.21,0.44,0.39,0.04,0.27,0.46,0.98,0.3,0.55,0.39,0.0
xcsoar.csv,0.23,0.23,0.04,0.38,0.43,0.17,0.53,0.24,0.52,0.2,0.3,0.5,0.48
