,capcode.csv,lmms.csv,linuxsh.csv,mcmc-jags.csv,scite-ru.csv,bl-toolkit.csv,nicepress.csv,sbml.csv,gpac.csv,mbse.csv,gebr.csv,gretl.csv,kowari.csv,libtorrent.csv,modellus.csv,kindb.csv,lufa-lib.csv,bibletime.csv,mplayer-ce.csv,miranda.csv
bibletime.csv,0.89,0.74,0.8,0.54,0.73,0.65,0.73,0.7,0.56,0.74,0.47,0.5,1.0,0.74,0.63,0.63,0.57,0.07,0.84,0.89
bl-toolkit.csv,0.73,0.62,0.91,0.55,0.62,0.05,0.62,0.76,0.79,0.95,0.5,0.58,0.79,0.63,0.55,1.01,0.99,0.6,1.0,0.81
capcode.csv,0.17,0.71,0.7,0.77,0.89,0.65,0.79,0.87,0.83,0.87,0.83,0.83,0.73,0.79,0.62,1.04,0.66,0.77,0.76,0.85
gebr.csv,0.76,0.73,0.8,0.72,0.73,0.57,0.86,0.85,0.71,0.96,0.11,0.72,0.82,0.74,0.81,0.68,0.74,0.72,0.89,0.75
gpac.csv,0.54,0.75,0.62,0.66,0.69,0.61,0.72,0.66,0.05,0.85,0.66,0.74,0.98,0.73,0.57,0.72,0.66,0.49,0.73,0.77
gretl.csv,1.0,0.78,0.91,0.87,0.61,0.65,0.93,0.79,0.78,0.92,0.44,0.03,0.96,0.47,0.88,0.71,0.9,0.8,0.96,0.92
kindb.csv,0.79,0.58,0.79,0.57,0.56,0.76,0.41,0.56,0.71,0.58,0.59,0.49,0.83,0.55,0.58,0.03,0.69,0.52,0.7,0.56
kowari.csv,1.01,0.67,0.37,0.76,1.03,0.75,0.74,0.78,0.86,0.76,0.85,0.75,0.0,0.64,0.55,0.75,0.81,0.66,0.81,0.55
libtorrent.csv,0.71,0.68,0.84,0.48,0.76,0.81,0.77,0.88,0.72,0.97,0.67,0.64,0.95,0.0,0.7,0.43,0.7,0.61,0.99,0.79
linuxsh.csv,0.83,0.7,0.0,1.04,0.91,0.87,0.85,0.69,0.91,0.89,0.93,0.81,0.76,0.88,0.77,0.84,0.81,0.81,0.67,0.71
lmms.csv,0.5,0.03,0.82,0.83,0.73,0.64,0.67,0.54,0.72,0.58,0.51,0.65,0.47,0.61,0.56,0.68,0.65,0.53,0.83,0.69
lufa-lib.csv,0.71,0.67,0.75,0.56,0.84,0.57,0.79,0.81,0.77,0.78,0.88,0.89,0.76,0.7,0.6,0.8,0.02,0.81,0.72,0.69
mbse.csv,0.69,0.8,0.85,0.96,0.78,0.86,0.77,0.77,0.81,0.11,0.95,0.85,0.57,0.76,0.77,0.69,0.7,0.81,0.7,0.63
mcmc-jags.csv,0.94,0.65,0.7,0.02,0.77,0.87,0.41,0.72,0.78,0.95,0.52,0.73,0.82,0.63,0.5,0.41,0.54,0.56,0.69,0.62
miranda.csv,0.58,0.55,0.51,0.49,0.78,0.79,0.58,0.59,0.73,0.69,0.59,0.58,0.58,0.57,0.56,0.56,0.6,0.61,0.71,0.03
modellus.csv,0.65,0.68,0.5,0.87,0.95,0.63,0.66,0.64,0.86,0.7,0.83,0.73,0.88,0.62,0.03,0.72,0.56,0.49,0.73,0.6
mplayer-ce.csv,0.65,0.72,0.64,0.78,0.81,0.71,0.62,0.72,0.75,0.71,0.78,0.53,0.65,0.72,0.64,0.77,0.6,0.7,0.06,0.66
nicepress.csv,0.57,0.72,1.02,0.87,0.87,0.74,0.04,0.55,0.69,0.58,0.61,0.73,0.61,0.72,0.86,0.91,0.59,0.64,0.7,0.72
sbml.csv,0.61,0.62,0.88,0.52,0.72,0.59,0.57,0.07,0.65,0.52,0.56,0.49,0.69,0.38,0.53,0.82,0.78,0.64,0.67,0.7
scite-ru.csv,0.85,0.62,0.6,0.54,0.14,0.96,0.55,0.56,0.98,0.93,0.57,0.59,1.0,0.66,0.85,0.7,0.76,0.64,1.0,0.66
