,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.35,0.23,0.4,0.85,0.09,0.52,0.56,1.0,0.02,0.68,0.47
cubefs.csv,0.34,0.23,0.17,0.92,0.03,0.55,0.58,0.82,0.0,0.87,0.46
iaml.csv,0.4,0.0,0.21,0.83,0.18,0.56,0.73,0.73,0.0,0.67,0.25
ivataopenportal.csv,0.38,0.23,0.2,0.85,0.1,0.71,0.54,0.69,0.0,0.7,0.46
mb-unit.csv,0.36,0.0,0.18,0.9,0.09,0.53,0.5,0.92,0.03,0.78,0.65
mvdsv.csv,0.5,0.22,0.0,0.89,0.75,0.5,0.56,0.75,0.0,1.0,0.71
nova.csv,0.37,0.5,0.2,0.86,0.0,0.47,0.62,0.72,0.02,0.74,0.47
olex2.csv,0.37,0.37,0.24,0.88,0.11,0.52,0.63,0.71,0.0,0.76,0.69
openwbem.csv,0.54,0.58,0.27,0.88,0.14,0.49,0.62,0.72,0.04,0.81,0.51
xcmetadataservicestoolkit.csv,0.36,0.19,0.12,0.88,0.09,0.51,0.56,0.89,0.02,0.86,0.47
