,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.94,1.0,0.81,0.81,1.0,0.64,0.54,0.05,1.0,0.8,1.0
cubefs.csv,0.26,1.0,1.0,0.48,0.33,0.73,0.7,0.69,0.0,0.65,1.0
iaml.csv,0.21,0.0,0.52,0.14,1.0,0.41,0.66,0.1,0.0,0.55,0.03
ivataopenportal.csv,0.82,1.0,0.9,0.88,1.0,0.71,0.74,0.99,0.0,0.82,1.0
mb-unit.csv,0.94,0.0,0.57,0.7,1.0,0.92,0.37,0.14,1.0,0.8,0.37
mvdsv.csv,0.04,0.31,0.0,0.07,1.0,0.01,0.07,0.08,0.0,0.18,0.08
nova.csv,0.54,0.85,0.76,0.41,0.0,0.35,0.54,0.47,1.0,0.5,0.7
olex2.csv,0.87,0.54,0.48,0.73,0.67,0.9,0.62,0.52,0.0,0.7,0.73
openwbem.csv,0.56,0.54,0.48,0.57,0.67,0.74,0.32,0.87,1.0,0.55,0.68
xcmetadataservicestoolkit.csv,0.48,0.62,0.62,0.55,1.0,0.86,0.82,0.21,1.0,0.8,0.57
