,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.93,0.59,0.55,0.33,1.0,0.03,0.5,1.0,0.57,0.7
fritzing.csv,0.9,0.59,0.99,0.45,0.96,0.02,0.33,0.48,0.43,0.62
jlinalg.csv,1.0,0.39,0.49,0.46,0.92,0.01,0.18,0.34,0.41,0.52
knowledge.csv,0.92,0.45,0.49,0.41,1.0,0.01,0.17,0.34,0.43,0.55
massiv.csv,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.67,0.0,0.0
multitude.csv,0.9,0.48,0.6,0.48,0.95,0.01,0.14,0.31,0.5,1.0
playerstage.csv,1.0,0.52,0.56,1.0,0.97,0.02,0.08,0.43,0.57,0.63
quarkplusplus.csv,0.92,0.63,0.62,0.77,1.0,0.02,0.25,0.56,1.0,0.77
rtrt-on-gpu.csv,1.0,0.48,0.69,0.56,1.0,0.01,1.0,0.26,0.56,0.58
superwaba.csv,0.88,0.98,0.52,0.56,0.97,0.02,0.18,0.31,0.67,0.64
