,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.85,1.0,1.0,0.01,0.97,1.0,0.96,1.0,1.0,0.98
chrysalis.csv,0.44,0.41,0.86,0.69,0.39,0.6,0.68,0.7,0.66,0.26
jahshaka.csv,0.48,0.29,0.84,0.73,0.69,0.53,0.71,0.69,0.76,0.6
jam-daq.csv,0.59,0.91,0.67,0.49,0.44,0.75,0.4,0.89,0.74,0.89
jatlas.csv,0.77,0.71,0.75,0.56,0.15,0.98,0.58,0.94,0.87,0.71
jedit.csv,0.34,0.61,0.62,1.0,0.94,0.46,1.0,0.67,0.67,0.76
mscore.csv,0.51,0.65,0.69,1.0,0.66,0.38,1.0,0.77,0.69,0.41
open-media-library.csv,0.73,0.65,0.38,0.71,0.4,0.55,0.64,0.66,0.59,0.93
panda3d.csv,0.54,0.82,0.65,0.39,0.54,0.84,0.6,0.73,0.53,0.66
wheat.csv,0.8,0.65,0.91,0.34,0.65,0.46,0.81,0.42,0.62,0.73
