,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.85,1.0,1.0,0.0,0.97,1.0,0.96,1.0,1.0,0.98
chrysalis.csv,0.25,0.18,0.83,0.67,0.34,0.07,0.65,0.17,0.27,0.21
jahshaka.csv,0.21,0.22,0.57,0.0,0.56,0.34,0.61,0.12,0.49,0.57
jam-daq.csv,0.41,0.08,0.17,0.0,0.19,0.06,0.28,0.0,0.1,0.1
jatlas.csv,0.76,0.45,0.67,0.33,0.15,0.02,0.46,0.12,0.15,0.1
jedit.csv,0.2,0.49,0.5,1.0,0.92,0.27,1.0,0.62,0.36,0.75
mscore.csv,0.28,0.59,0.63,1.0,0.66,0.24,1.0,0.75,0.56,0.23
open-media-library.csv,0.71,0.12,0.28,0.67,0.4,0.38,0.61,0.33,0.31,0.09
panda3d.csv,0.49,0.08,0.35,0.0,0.5,0.22,0.44,0.5,0.35,0.62
wheat.csv,0.64,0.35,0.89,0.0,0.65,0.29,0.8,0.33,0.36,0.31
