,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.56,0.67,0.0,0.4,0.8,0.59,0.3,0.31,0.34,0.56
jmule.csv,0.53,0.59,0.12,0.33,0.56,0.63,0.3,0.22,0.29,0.79
nosleepsoftware.csv,0.55,0.54,0.55,0.0,0.29,0.4,0.2,0.12,0.01,0.48
open-ms.csv,0.66,0.58,0.65,0.75,0.82,0.65,0.42,0.3,0.29,0.48
qgo.csv,0.86,0.56,0.28,0.5,0.67,0.54,0.28,0.23,0.22,0.48
rezilla.csv,0.49,0.51,0.3,0.69,0.38,0.57,0.29,0.21,0.21,0.63
riff-evolve.csv,0.59,0.73,0.0,0.5,0.77,0.73,0.3,0.35,0.51,0.0
uwom.csv,0.57,0.61,0.03,0.38,0.87,0.58,0.6,0.25,0.48,0.8
virtuoso.csv,0.5,0.52,0.26,0.39,0.48,0.49,0.49,0.21,0.23,0.45
yield.csv,0.53,0.63,0.29,0.5,0.77,0.5,0.29,0.23,0.35,0.49
