,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.83,0.56,0.0,0.32,0.52,0.75,0.86,0.45,0.73,0.38
jmule.csv,0.67,0.6,0.25,0.89,0.9,0.71,0.5,0.84,0.98,0.92
nosleepsoftware.csv,0.2,0.08,0.75,0.0,0.1,0.07,0.02,0.16,0.01,0.67
open-ms.csv,0.7,0.69,0.69,0.16,0.14,0.37,0.55,0.57,0.54,0.83
qgo.csv,0.83,0.85,0.69,0.37,0.67,0.6,0.81,0.84,0.83,1.0
rezilla.csv,0.6,0.91,1.0,0.58,0.38,0.32,0.79,0.75,0.81,0.5
riff-evolve.csv,0.57,0.42,0.0,0.16,0.57,0.66,0.83,0.51,0.67,0.0
uwom.csv,0.77,0.06,0.06,0.42,0.41,0.33,0.07,0.78,0.86,0.5
virtuoso.csv,0.93,0.98,1.0,0.95,0.94,0.88,0.57,0.98,0.9,0.96
yield.csv,0.8,0.7,0.69,0.21,0.73,1.0,0.86,0.81,0.83,0.92
