,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.7,0.58,0.0,0.36,0.57,0.67,0.71,0.49,0.7,0.42
jmule.csv,0.62,0.59,0.27,0.39,0.68,0.68,0.52,0.57,0.68,0.89
nosleepsoftware.csv,0.24,0.1,0.76,0.0,0.12,0.09,0.02,0.19,0.01,0.59
open-ms.csv,0.7,0.62,0.72,0.19,0.17,0.42,0.58,0.59,0.56,0.56
qgo.csv,0.84,0.58,0.59,0.42,0.67,0.57,0.65,0.6,0.45,0.36
rezilla.csv,0.57,0.24,0.54,0.62,0.39,0.36,0.67,0.55,0.41,0.54
riff-evolve.csv,0.59,0.47,0.0,0.19,0.61,0.68,0.7,0.55,0.7,0.0
uwom.csv,0.7,0.07,0.07,0.45,0.46,0.37,0.09,0.65,0.83,0.55
virtuoso.csv,0.54,0.13,0.09,0.66,0.17,0.34,0.61,0.13,0.45,0.13
yield.csv,0.67,0.66,0.62,0.25,0.74,0.05,0.67,0.6,0.76,0.55
