,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.01,0.54,0.72,0.99,0.66,0.69,0.64,0.59,0.48,1.07,0.71,0.81,0.67,0.68,0.45,0.55
bullet.csv,0.83,0.76,0.79,0.81,0.55,0.01,0.64,0.87,0.86,0.84,0.72,0.85,0.61,1.0,0.78,0.57
customwars.csv,0.94,1.01,0.89,0.6,0.93,0.81,0.82,0.65,1.0,0.68,0.06,0.8,0.79,0.56,0.42,0.71
dvd-create.csv,0.76,0.64,0.61,0.6,0.01,0.63,0.67,0.9,0.59,0.7,0.76,0.76,0.7,0.8,0.77,0.7
gbif-indexingtoolkit.csv,0.81,0.91,0.76,0.54,0.85,0.84,0.98,0.0,0.84,0.83,0.74,0.96,0.77,0.85,0.55,0.72
go.csv,0.73,0.05,0.67,0.93,0.58,0.66,0.68,0.6,0.78,0.67,0.67,0.59,0.65,0.87,0.76,0.45
growl-for-windows.csv,0.61,0.95,0.86,0.91,0.91,0.77,0.67,0.78,0.35,0.33,0.58,0.74,0.84,0.72,0.03,0.92
gss.csv,0.93,0.6,0.96,0.7,0.74,0.95,0.86,0.74,0.9,1.0,0.77,0.9,0.0,0.97,0.76,0.67
kwave.csv,0.72,0.57,0.07,0.85,0.64,0.76,0.68,0.84,1.03,0.94,0.68,0.81,0.87,0.93,0.9,0.59
libarchive.csv,0.53,0.45,0.67,0.67,0.67,0.52,0.54,0.72,0.39,1.0,0.76,0.84,0.56,0.69,0.71,0.04
linux-ntfs.csv,0.55,0.64,0.6,0.63,0.58,0.59,0.6,0.55,0.3,1.08,0.53,0.77,0.57,0.0,0.68,0.51
lsb.csv,0.73,0.67,0.81,0.07,0.54,0.59,0.68,0.94,0.54,1.0,0.99,0.9,0.8,0.78,0.95,0.51
mpgravity.csv,0.5,0.65,0.91,0.71,0.86,0.84,0.57,0.77,0.89,0.0,0.64,0.65,0.72,0.7,0.38,0.53
qcad2.csv,0.78,0.87,0.83,0.78,0.78,0.93,0.08,0.55,0.87,0.85,0.64,0.68,0.71,0.59,0.71,0.59
qtwin.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xinity.csv,0.73,1.0,0.86,1.0,1.0,1.0,0.73,0.95,1.03,0.93,0.71,0.1,0.79,0.79,0.94,1.0
