,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.61,0.06,0.52,0.72,0.69
empyrean.csv,0.04,0.68,0.72,0.7,0.83
mplayer-ce.csv,0.75,0.74,0.89,0.62,0.03
nutz.csv,0.6,0.85,0.03,0.61,0.95
yafdotnet.csv,0.81,0.56,0.52,0.03,0.67
