,rhex.csv,jcae.csv,popeye-chess.csv,openmalaria.csv,archive-crawler.csv,acdk.csv,truevision.csv,rocrail.csv
acdk.csv,0.54,0.54,0.63,0.28,0.56,0.96,0.47,0.57
archive-crawler.csv,0.37,0.26,0.52,0.59,1.0,0.69,0.66,0.75
jcae.csv,0.1,1.0,0.2,0.17,0.11,0.15,0.54,0.6
openmalaria.csv,0.67,0.5,0.63,0.94,0.43,0.52,0.62,0.78
popeye-chess.csv,0.45,0.74,1.0,0.66,0.54,0.78,0.68,0.73
rhex.csv,0.86,0.49,0.2,0.09,0.2,0.63,0.38,0.27
rocrail.csv,0.47,0.26,0.27,0.15,0.26,0.63,0.51,0.92
truevision.csv,0.46,0.75,0.6,0.62,0.6,0.55,1.0,0.61
